player_id,league_id,team_id,footballer_id,footballer_name_footballer,age,club,league_name,position,position_acronym,contract,market_value,height,feet,rating,potential,goalkeeping,mental,physical,technical,aerial-reach,command-of-area,communication,eccentricity,first-touch,handling,kicking,one-on-ones,passing,punching-tendency,reflexes,rushing-out-tendency,throwing,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off-the-ball,positioning,teamwork,vision,work-rate,acceleration,agility,balance,jumping-reach,natural-fitness,pace,stamina,strength,free-kick-taking,penalty-taking,technique,corners,crossing,dribbling,finishing,heading,long-shots,long-throws,marking,tackling,num_players,avg_age,total_squad_value,country,num_legionnaires,avg_marketing_val,num_teams,players,avg_marketing_val_league,avg_age_league
1,tr1,1,1,Fernando Muslera,38,Galatasaray,Süper Lig,Goalkeeper,GK,"Jun 30, 2025",€1.10m,"1,90m",right,68,80.0,60,65,55,40,60,50,70,35,55,80,60,75,60,20,65,70,60,50,80,65,65,65,70,85,30,85,30,85,70,45,60,50,65,45,75,80,40,40,60,45,35,40,0,0,0,0,0,0,0,0,0,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
2,tr1,1,2,Günay Güvenç,33,Galatasaray,Süper Lig,Goalkeeper,GK,"Jun 30, 2026",€550k,"1,87m",right,58,60.0,60,55,60,40,55,40,55,45,45,50,60,65,60,85,70,75,60,50,60,70,65,60,50,70,35,70,25,65,70,40,40,60,70,50,70,65,40,50,65,45,15,55,0,0,0,0,0,0,0,0,0,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
3,tr1,1,3,Batuhan Şen,25,Galatasaray,Süper Lig,Goalkeeper,GK,"Jun 30, 2026",€375k,"1,94m",right,55,60.0,55,50,55,35,75,60,60,30,50,70,45,65,45,65,60,50,50,50,70,50,75,50,60,60,30,35,15,75,60,45,55,45,60,50,80,55,45,55,50,40,25,40,0,0,0,0,0,0,0,0,0,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
4,tr1,1,4,Atakan Ordu,19,Galatasaray,Süper Lig,Goalkeeper,GK,"Jun 30, 2025",€50k,"1,90m",right,35,,50,45,50,25,55,40,35,40,40,50,55,55,40,75,65,50,50,35,45,50,40,50,30,75,25,30,10,50,55,45,55,45,60,45,65,55,50,40,45,30,15,35,0,0,0,0,0,0,0,0,0,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
5,tr1,1,5,Davinson Sánchez,28,Galatasaray,Süper Lig,Centre-Back,DC,"Jun 30, 2027",€18.00m,"1,87m",right,70,75.0,0,60,75,50,0,0,0,0,65,0,0,0,65,0,0,0,0,75,60,75,60,60,55,70,50,45,50,65,70,50,70,75,70,65,75,75,75,75,80,40,35,65,35,35,50,35,70,45,40,70,80,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
6,tr1,1,6,Victor Nelsson,26,Galatasaray,Süper Lig,Centre-Back,DC,"Jun 30, 2026",€16.00m,"1,85m",right,68,72.0,0,65,65,40,0,0,0,0,50,0,0,0,55,0,0,0,0,65,75,80,60,80,75,75,20,70,25,85,75,50,70,50,55,70,65,75,55,65,70,20,30,50,15,30,30,25,50,25,20,80,75,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
7,tr1,1,7,Abdülkerim Bardakcı,30,Galatasaray,Süper Lig,Centre-Back,DC,"Jun 30, 2025",€7.50m,"1,85m",left,68,70.0,0,70,65,55,0,0,0,0,60,0,0,0,70,0,0,0,0,85,70,85,75,75,70,75,50,70,50,70,70,65,75,50,55,75,70,80,55,60,75,30,35,65,40,50,50,40,75,50,45,70,70,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
8,tr1,1,8,Metehan Baltacı,22,Galatasaray,Süper Lig,Centre-Back,DC,"Jun 30, 2026",€1.60m,"1,89m",right,53,,0,60,65,40,0,0,0,0,45,0,0,0,50,0,0,0,0,70,50,80,70,65,50,85,45,50,35,65,60,45,70,55,50,60,70,75,65,60,65,15,25,45,15,35,40,30,60,25,50,65,65,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
9,tr1,1,9,Ali Yeşilyurt,19,Galatasaray,Süper Lig,Centre-Back,DC,"Jun 30, 2025",€75k,"1,92m",right,38,,0,50,50,35,0,0,0,0,35,0,0,0,40,0,0,0,0,60,50,60,55,50,40,60,25,40,25,55,60,40,60,40,40,50,70,45,55,50,60,25,25,40,20,20,25,25,50,35,35,60,60,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
10,tr1,1,10,Ismail Jakobs,25,Galatasaray,Süper Lig,Left-Back,"WBL, ML","Jun 30, 2025",€8.00m,"1,84m",left,61,68.0,0,55,65,50,0,0,0,0,60,0,0,0,55,0,0,0,0,80,60,65,45,45,50,70,50,30,55,50,60,45,70,75,55,60,40,60,85,75,50,40,45,55,60,65,60,45,40,45,45,50,55,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
11,tr1,1,11,Elias Jelert,21,Galatasaray,Süper Lig,Right-Back,"DR, WBR","Jun 30, 2029",€8.00m,"1,78m",right,63,75.0,0,65,65,50,0,0,0,0,65,0,0,0,70,0,0,0,0,75,60,75,60,55,60,75,65,20,70,50,70,65,75,75,70,65,40,75,75,75,35,10,25,65,55,55,65,45,40,45,20,50,60,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
12,tr1,1,12,Kaan Ayhan,30,Galatasaray,Süper Lig,Right-Back,"DC, DM","Jun 30, 2026",€4.80m,"1,85m",right,65,67.0,0,65,60,55,0,0,0,0,60,0,0,0,70,0,0,0,0,70,70,65,75,70,75,80,40,80,50,70,80,60,55,40,50,70,60,70,50,65,70,50,45,60,35,45,40,35,85,50,35,65,65,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
13,tr1,1,13,Lucas Torreira,28,Galatasaray,Süper Lig,Defensive Midfield,DM,"Jun 30, 2026",€15.00m,"1,66m",right,75,78.0,0,75,65,55,0,0,0,0,70,0,0,0,70,0,0,0,0,90,90,90,70,70,75,80,60,50,40,75,90,60,85,85,95,75,25,75,45,75,45,40,55,70,35,40,60,40,50,50,25,80,75,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
14,tr1,1,14,Efe Akman,18,Galatasaray,Süper Lig,Defensive Midfield,"DM, MC","Jun 30, 2028",€600k,"1,75m",right,43,,0,55,50,45,0,0,0,0,75,0,0,0,65,0,0,0,0,55,55,55,60,45,50,70,60,45,35,45,70,65,55,55,60,60,25,80,40,40,25,35,35,70,40,40,50,35,40,40,20,30,40,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
15,tr1,1,15,Gabriel Sara,25,Galatasaray,Süper Lig,Central Midfield,"MC, AMC","Jun 30, 2029",€20.00m,"1,77m",left,69,75.0,0,65,65,65,0,0,0,0,70,0,0,0,80,0,0,0,0,55,65,65,70,60,70,75,65,55,65,40,70,75,70,70,65,65,55,75,65,70,65,70,60,70,70,60,70,60,70,70,55,40,55,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
16,tr1,1,16,Kerem Demirbay,31,Galatasaray,Süper Lig,Central Midfield,"DM, MC","Jun 30, 2026",€4.40m,"1,83m",left,65,75.0,0,65,60,60,0,0,0,0,75,0,0,0,80,0,0,0,0,75,55,60,70,55,65,60,65,70,50,55,65,75,65,45,65,60,50,60,60,65,55,75,60,80,80,65,55,45,35,70,30,55,65,28,26.7,€262.05m,Türkiye,16,€9.36m,19 teams,563,€2.04m,26.5
