match_id,league_id,week,date,home_team_id,home_team,home_goals,away_team_id,away_team,away_goals,season,home_footballer_id,away_footballer_id,is_played
1,tr1,Week 1,2022-08-05,40,İstanbulspor,0,4,Trabzonspor,2,22/23,1109,117,True
2,tr1,Week 1,2022-08-06,14,Sivasspor,1,17,Gaziantep FK,1,22/23,391,468,True
3,tr1,Week 1,2022-08-06,3,Besiktas JK,1,15,Kayserispor,0,22/23,65,407,True
4,tr1,Week 1,2022-08-07,39,Fatih Karagümrük,2,12,Alanyaspor,4,22/23,1068,327,True
5,tr1,Week 1,2022-08-07,11,Antalyaspor,0,1,Galatasaray,1,22/23,310,14,True
6,tr1,Week 1,2022-08-08,5,Basaksehir FK,4,9,Kasimpasa,0,22/23,139,252,True
7,tr1,Week 1,2022-08-08,2,Fenerbahce,3,45,Ümraniyespor,3,22/23,31,1220,True
8,tr1,Week 1,2022-08-08,38,Ankaragücü,0,13,Konyaspor,0,22/23,1026,368,True
9,tr1,Week 2,2022-08-12,4,Trabzonspor,1,16,Hatayspor,0,22/23,117,438,True
10,tr1,Week 2,2022-08-13,15,Kayserispor,1,40,İstanbulspor,0,22/23,407,1109,True
11,tr1,Week 2,2022-08-13,19,Adana Demirspor,3,14,Sivasspor,0,22/23,515,391,True
12,tr1,Week 2,2022-08-14,17,Gaziantep FK,1,38,Ankaragücü,0,22/23,468,1026,True
13,tr1,Week 2,2022-08-14,45,Ümraniyespor,0,11,Antalyaspor,1,22/23,1220,310,True
14,tr1,Week 2,2022-08-14,12,Alanyaspor,3,3,Besiktas JK,3,22/23,327,65,True
15,tr1,Week 2,2022-08-15,13,Konyaspor,0,5,Basaksehir FK,0,22/23,368,139,True
16,tr1,Week 2,2022-08-15,9,Kasimpasa,0,2,Fenerbahce,6,22/23,252,31,True
17,tr1,Week 3,2022-08-19,45,Ümraniyespor,0,1,Galatasaray,1,22/23,1220,14,True
18,tr1,Week 3,2022-08-20,16,Hatayspor,1,17,Gaziantep FK,2,22/23,438,468,True
19,tr1,Week 3,2022-08-20,11,Antalyaspor,5,4,Trabzonspor,2,22/23,310,117,True
20,tr1,Week 3,2022-08-21,5,Basaksehir FK,2,15,Kayserispor,0,22/23,139,407,True
21,tr1,Week 3,2022-08-21,3,Besiktas JK,4,39,Fatih Karagümrük,1,22/23,65,1068,True
22,tr1,Week 3,2022-08-22,40,İstanbulspor,0,13,Konyaspor,4,22/23,1109,368,True
23,tr1,Week 3,2022-08-22,14,Sivasspor,1,12,Alanyaspor,1,22/23,391,327,True
24,tr1,Week 3,2022-08-22,2,Fenerbahce,4,19,Adana Demirspor,2,22/23,31,515,True
25,tr1,Week 4,2022-08-26,17,Gaziantep FK,5,11,Antalyaspor,2,22/23,468,310,True
26,tr1,Week 4,2022-08-27,39,Fatih Karagümrük,4,38,Ankaragücü,1,22/23,1068,1026,True
27,tr1,Week 4,2022-08-27,19,Adana Demirspor,1,45,Ümraniyespor,0,22/23,515,1220,True
28,tr1,Week 4,2022-08-27,12,Alanyaspor,0,40,İstanbulspor,1,22/23,327,1109,True
29,tr1,Week 4,2022-08-28,9,Kasimpasa,1,16,Hatayspor,0,22/23,252,438,True
30,tr1,Week 4,2022-08-28,4,Trabzonspor,0,1,Galatasaray,0,22/23,117,14,True
31,tr1,Week 4,2022-08-29,13,Konyaspor,1,2,Fenerbahce,0,22/23,368,31,True
32,tr1,Week 4,2022-08-29,3,Besiktas JK,3,14,Sivasspor,1,22/23,65,391,True
33,tr1,Week 5,2022-09-02,45,Ümraniyespor,0,4,Trabzonspor,1,22/23,1220,117,True
34,tr1,Week 5,2022-09-03,5,Basaksehir FK,2,12,Alanyaspor,0,22/23,139,327,True
35,tr1,Week 5,2022-09-03,14,Sivasspor,0,39,Fatih Karagümrük,0,22/23,391,1068,True
36,tr1,Week 5,2022-09-03,2,Fenerbahce,2,15,Kayserispor,0,22/23,31,407,True
37,tr1,Week 5,2022-09-04,16,Hatayspor,1,19,Adana Demirspor,1,22/23,438,515,True
38,tr1,Week 5,2022-09-04,11,Antalyaspor,0,9,Kasimpasa,2,22/23,310,252,True
39,tr1,Week 5,2022-09-04,38,Ankaragücü,2,3,Besiktas JK,3,22/23,1026,65,True
40,tr1,Week 5,2022-09-05,1,Galatasaray,2,17,Gaziantep FK,1,22/23,14,468,True
41,tr1,Week 6,2022-09-09,12,Alanyaspor,2,38,Ankaragücü,1,22/23,327,1026,True
42,tr1,Week 6,2022-09-10,13,Konyaspor,1,16,Hatayspor,0,22/23,368,438,True
43,tr1,Week 6,2022-09-11,14,Sivasspor,1,40,İstanbulspor,1,22/23,391,1109,True
44,tr1,Week 6,2022-09-11,17,Gaziantep FK,1,45,Ümraniyespor,1,22/23,468,1220,True
45,tr1,Week 6,2022-09-11,9,Kasimpasa,2,1,Galatasaray,3,22/23,252,14,True
46,tr1,Week 6,2022-09-11,15,Kayserispor,1,11,Antalyaspor,0,22/23,407,310,True
47,tr1,Week 6,2022-09-12,3,Besiktas JK,0,5,Basaksehir FK,1,22/23,65,139,True
48,tr1,Week 6,2022-09-12,19,Adana Demirspor,3,4,Trabzonspor,2,22/23,515,117,True
49,tr1,Week 7,2022-09-16,1,Galatasaray,2,13,Konyaspor,1,22/23,14,368,True
50,tr1,Week 7,2022-09-16,16,Hatayspor,0,15,Kayserispor,4,22/23,438,407,True
51,tr1,Week 7,2022-09-17,45,Ümraniyespor,1,9,Kasimpasa,2,22/23,1220,252,True
52,tr1,Week 7,2022-09-17,11,Antalyaspor,0,19,Adana Demirspor,3,22/23,310,515,True
53,tr1,Week 7,2022-09-17,40,İstanbulspor,2,3,Besiktas JK,2,22/23,1109,65,True
54,tr1,Week 7,2022-09-18,5,Basaksehir FK,0,39,Fatih Karagümrük,0,22/23,139,1068,True
55,tr1,Week 7,2022-09-18,4,Trabzonspor,3,17,Gaziantep FK,2,22/23,117,468,True
56,tr1,Week 7,2022-09-18,2,Fenerbahce,5,12,Alanyaspor,0,22/23,31,327,True
57,tr1,Week 7,2022-09-18,38,Ankaragücü,2,14,Sivasspor,1,22/23,1026,391,True
58,tr1,Week 8,2022-10-01,9,Kasimpasa,1,17,Gaziantep FK,0,22/23,252,468,True
59,tr1,Week 8,2022-10-01,15,Kayserispor,1,4,Trabzonspor,2,22/23,407,117,True
60,tr1,Week 8,2022-10-01,38,Ankaragücü,1,5,Basaksehir FK,2,22/23,1026,139,True
61,tr1,Week 8,2022-10-01,19,Adana Demirspor,0,1,Galatasaray,0,22/23,515,14,True
62,tr1,Week 8,2022-10-02,14,Sivasspor,1,16,Hatayspor,2,22/23,391,438,True
63,tr1,Week 8,2022-10-02,13,Konyaspor,1,45,Ümraniyespor,0,22/23,368,1220,True
64,tr1,Week 8,2022-10-02,3,Besiktas JK,0,2,Fenerbahce,0,22/23,65,31,True
65,tr1,Week 8,2022-10-03,39,Fatih Karagümrük,1,40,İstanbulspor,2,22/23,1068,1109,True
66,tr1,Week 9,2022-10-07,17,Gaziantep FK,1,19,Adana Demirspor,1,22/23,468,515,True
67,tr1,Week 9,2022-10-08,40,İstanbulspor,1,38,Ankaragücü,2,22/23,1109,1026,True
68,tr1,Week 9,2022-10-08,11,Antalyaspor,1,13,Konyaspor,1,22/23,310,368,True
69,tr1,Week 9,2022-10-09,45,Ümraniyespor,2,15,Kayserispor,2,22/23,1220,407,True
70,tr1,Week 9,2022-10-09,16,Hatayspor,1,12,Alanyaspor,0,22/23,438,327,True
71,tr1,Week 9,2022-10-09,2,Fenerbahce,5,39,Fatih Karagümrük,4,22/23,31,1068,True
72,tr1,Week 9,2022-10-10,5,Basaksehir FK,0,14,Sivasspor,2,22/23,139,391,True
73,tr1,Week 9,2022-10-10,4,Trabzonspor,0,9,Kasimpasa,0,22/23,117,252,True
74,tr1,Week 10,2022-10-14,12,Alanyaspor,3,11,Antalyaspor,2,22/23,327,310,True
75,tr1,Week 10,2022-10-15,39,Fatih Karagümrük,3,16,Hatayspor,0,22/23,1068,438,True
76,tr1,Week 10,2022-10-15,9,Kasimpasa,1,19,Adana Demirspor,4,22/23,252,515,True
77,tr1,Week 10,2022-10-15,15,Kayserispor,2,1,Galatasaray,1,22/23,407,14,True
78,tr1,Week 10,2022-10-15,13,Konyaspor,0,17,Gaziantep FK,1,22/23,368,468,True
79,tr1,Week 10,2022-10-16,5,Basaksehir FK,2,40,İstanbulspor,0,22/23,139,1109,True
80,tr1,Week 10,2022-10-16,3,Besiktas JK,2,4,Trabzonspor,2,22/23,65,117,True
81,tr1,Week 10,2022-10-17,38,Ankaragücü,0,2,Fenerbahce,3,22/23,1026,31,True
82,tr1,Week 11,2022-10-21,11,Antalyaspor,2,40,İstanbulspor,1,22/23,310,1109,True
83,tr1,Week 11,2022-10-22,45,Ümraniyespor,1,39,Fatih Karagümrük,3,22/23,1220,1068,True
84,tr1,Week 11,2022-10-22,4,Trabzonspor,1,14,Sivasspor,0,22/23,117,391,True
85,tr1,Week 11,2022-10-22,2,Fenerbahce,1,5,Basaksehir FK,0,22/23,31,139,True
86,tr1,Week 11,2022-10-23,9,Kasimpasa,0,15,Kayserispor,1,22/23,252,407,True
87,tr1,Week 11,2022-10-23,19,Adana Demirspor,1,13,Konyaspor,1,22/23,515,368,True
88,tr1,Week 11,2022-10-23,1,Galatasaray,2,12,Alanyaspor,2,22/23,14,327,True
89,tr1,Week 11,2022-10-24,16,Hatayspor,2,3,Besiktas JK,1,22/23,438,65,True
90,tr1,Week 12,2022-10-28,39,Fatih Karagümrük,0,1,Galatasaray,2,22/23,1068,14,True
91,tr1,Week 12,2022-10-29,13,Konyaspor,1,9,Kasimpasa,1,22/23,368,252,True
92,tr1,Week 12,2022-10-29,12,Alanyaspor,2,17,Gaziantep FK,0,22/23,327,468,True
93,tr1,Week 12,2022-10-30,38,Ankaragücü,4,16,Hatayspor,1,22/23,1026,438,True
94,tr1,Week 12,2022-10-30,3,Besiktas JK,5,45,Ümraniyespor,2,22/23,65,1220,True
95,tr1,Week 12,2022-10-30,15,Kayserispor,2,19,Adana Demirspor,2,22/23,407,515,True
96,tr1,Week 12,2022-10-30,40,İstanbulspor,2,2,Fenerbahce,5,22/23,1109,31,True
97,tr1,Week 12,2022-10-31,14,Sivasspor,0,11,Antalyaspor,2,22/23,391,310,True
98,tr1,Week 13,2022-11-04,9,Kasimpasa,1,38,Ankaragücü,1,22/23,252,1026,True
99,tr1,Week 13,2022-11-04,45,Ümraniyespor,3,12,Alanyaspor,1,22/23,1220,327,True
100,tr1,Week 13,2022-11-05,1,Galatasaray,2,3,Besiktas JK,1,22/23,14,65,True
101,tr1,Week 13,2022-11-06,17,Gaziantep FK,1,15,Kayserispor,2,22/23,468,407,True
102,tr1,Week 13,2022-11-06,11,Antalyaspor,4,39,Fatih Karagümrük,2,22/23,310,1068,True
103,tr1,Week 13,2022-11-06,4,Trabzonspor,2,13,Konyaspor,2,22/23,117,368,True
104,tr1,Week 13,2022-11-07,2,Fenerbahce,1,14,Sivasspor,0,22/23,31,391,True
105,tr1,Week 13,2022-11-07,16,Hatayspor,3,5,Basaksehir FK,3,22/23,438,139,True
106,tr1,Week 14,2022-11-11,12,Alanyaspor,0,19,Adana Demirspor,0,22/23,327,515,True
107,tr1,Week 14,2022-11-11,38,Ankaragücü,1,4,Trabzonspor,1,22/23,1026,117,True
108,tr1,Week 14,2022-11-12,14,Sivasspor,2,45,Ümraniyespor,2,22/23,391,1220,True
109,tr1,Week 14,2022-11-12,5,Basaksehir FK,0,1,Galatasaray,7,22/23,139,14,True
110,tr1,Week 14,2022-11-13,39,Fatih Karagümrük,3,17,Gaziantep FK,3,22/23,1068,468,True
111,tr1,Week 14,2022-11-13,40,İstanbulspor,0,16,Hatayspor,1,22/23,1109,438,True
112,tr1,Week 14,2022-11-13,15,Kayserispor,1,13,Konyaspor,2,22/23,407,368,True
113,tr1,Week 14,2022-11-13,3,Besiktas JK,,11,Antalyaspor,,22/23,65,310,False
114,tr1,Week 14,2023-02-26,3,Besiktas JK,0,11,Antalyaspor,0,22/23,65,310,True
115,tr1,Week 15,2022-12-23,11,Antalyaspor,0,38,Ankaragücü,2,22/23,310,1026,True
