player_id,footballer_id,footballer_name,rating,potential,position_acronym,goalkeeping,mental,physical,technical,aerial-reach,command-of-area,communication,eccentricity,first-touch,handling,kicking,one-on-ones,passing,punching-tendency,reflexes,rushing-out-tendency,throwing,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off-the-ball,positioning,teamwork,vision,work-rate,acceleration,agility,balance,jumping-reach,natural-fitness,pace,stamina,strength,free-kick-taking,penalty-taking,technique,corners,crossing,dribbling,finishing,heading,long-shots,long-throws,marking,tackling
1,121,Yusuf Yılmaz,20,22,GK,20,28,21,13,25,26,23,16,25,24,18,19,12,20,19,10,21,19,23,28,27,27,28,26,15,12,21,17,21,28,13,19,11,10,28,12,22,19,20,11,25,18,25,19,22,20,12,27,27,28,26
2,285,Berhan Deniz,23,13,ST,11,15,28,28,12,23,24,14,18,18,19,24,26,10,12,13,26,14,18,12,13,14,18,25,22,10,23,10,19,25,15,27,14,19,19,13,24,21,24,26,21,11,12,25,11,11,15,11,20,23,15
3,370,Djordje Nikolic,18,26,GK,10,26,11,16,21,15,16,12,19,11,25,10,21,21,23,25,25,26,14,15,14,15,15,17,13,15,28,10,14,19,19,15,20,15,17,23,27,27,24,23,16,18,25,24,26,22,16,19,21,16,22
4,425,Emir Dadük,11,19,GK,13,28,24,18,20,25,24,17,20,18,27,26,28,27,25,17,11,22,18,20,24,10,24,26,24,10,16,14,15,11,16,10,26,21,25,11,18,13,25,16,12,23,26,20,11,27,28,12,25,25,24
5,511,Deniz Dönmezer,22,22,GK,25,11,25,14,25,20,21,12,19,22,28,26,19,24,14,10,12,27,10,18,13,22,28,25,19,17,10,23,22,20,12,13,10,19,22,15,28,28,17,11,11,11,21,19,16,26,22,25,18,19,26
6,534,Ozan Demirbağ,26,23,ST,21,17,26,17,27,20,20,23,14,21,10,18,17,11,15,14,16,28,26,15,19,24,16,24,26,11,20,22,19,25,16,26,25,25,19,16,14,26,14,28,20,16,10,24,21,18,13,26,11,14,24
7,544,Jan Leszczynski,25,25,DC,18,20,11,18,14,14,21,17,14,18,16,23,20,19,28,10,25,17,28,24,21,15,23,21,11,22,10,27,19,15,24,17,13,28,21,17,23,26,16,15,24,14,19,16,14,16,20,26,26,27,27
8,575,Wojciech Monka,14,28,DC,22,19,14,18,20,27,21,15,16,27,14,14,14,12,27,10,21,14,23,13,27,16,11,10,18,28,17,24,11,10,17,20,13,24,19,14,25,10,14,14,21,20,13,13,13,24,25,21,19,23,12
9,635,Jaroslaw Kubicki,24,15,MC,27,24,25,14,13,20,25,27,15,16,15,19,14,17,23,20,19,12,17,11,28,13,25,10,23,16,13,15,11,16,23,12,13,28,22,27,22,16,26,13,20,27,15,26,25,11,23,12,27,11,14
10,679,Konrad Golonka,17,23,GK,22,15,20,28,11,16,20,23,10,13,25,28,20,15,23,14,24,15,10,20,14,25,17,15,24,12,12,12,14,19,28,23,28,25,21,11,19,15,21,25,18,12,24,22,17,22,15,10,25,28,26
11,698,Fabian Bzdyl,19,26,MC,13,20,19,28,28,16,15,19,18,19,23,28,23,28,10,26,28,17,10,18,25,18,10,10,23,20,22,19,10,26,20,14,10,20,19,14,19,16,15,14,19,11,12,28,19,17,18,22,23,10,15
12,874,Alex Cetnar,19,26,MC,23,19,11,24,21,28,13,15,20,12,16,15,26,24,21,24,22,19,25,13,10,16,24,22,15,28,21,17,19,20,11,26,15,22,25,10,28,21,22,15,19,16,26,19,12,13,12,13,18,25,22
13,968,Leândro,17,28,RW,26,13,10,28,27,10,27,17,28,25,18,12,26,15,16,11,14,17,17,15,13,21,28,26,12,22,19,17,24,14,15,15,14,19,18,28,12,12,19,15,27,25,20,27,25,19,18,14,26,27,21
14,1015,Adam Sendor,11,28,MC,22,17,23,10,28,22,26,26,12,14,23,27,24,16,22,25,18,18,25,15,28,15,22,24,27,26,24,27,19,12,12,18,14,10,15,28,11,27,26,14,21,14,21,18,25,11,16,18,28,15,24
15,1029,Görkem Cihan,23,24,GK,26,28,17,18,10,28,28,10,17,25,16,22,16,12,15,15,12,23,17,18,24,15,12,16,10,23,21,23,23,21,18,28,26,14,11,26,27,16,14,26,15,23,13,26,13,20,14,19,16,12,15
16,1047,Hasan Nazarli,11,17,MC,22,27,25,16,28,21,17,25,19,26,23,24,25,18,20,13,14,17,21,19,16,19,15,18,28,24,17,28,23,28,22,16,24,11,24,27,14,14,19,13,17,15,21,19,27,20,14,10,23,12,12
