player_id,footballer_id,footballer_name_player,rating,potential,position_acronym,goalkeeping,mental,physical,technical,aerial-reach,command-of-area,communication,eccentricity,first-touch,handling,kicking,one-on-ones,passing,punching-tendency,reflexes,rushing-out-tendency,throwing,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off-the-ball,positioning,teamwork,vision,work-rate,acceleration,agility,balance,jumping-reach,natural-fitness,pace,stamina,strength,free-kick-taking,penalty-taking,technique,corners,crossing,dribbling,finishing,heading,long-shots,long-throws,marking,tackling,league_id,team_id,footballer_name_footballer,club,league_name,trikot_num,position,birthday,age,nationality_img_path,height,feet,contract,market_value,footballer_img_path,league_name_team,league_id_team,team_name,team_info_link,img_path,num_players,avg_age,num_legionnaires,avg_marketing_val,total_squad_value,league_name_league,league_logo_path,country,num_teams,players,foreign_players,avg_marketing_val_league,avg_age_league,most_valuable_player,total_market_value
1,1,Fernando Muslera,68,80.0,GK,60,65,55,40,60,50,70,35,55,80,60,75,60,20,65,70,60,50,80,65,65,65,70,85,30,85,30,85,70,45,60,50,65,45,75,80,40,40,60,45,35,40,0,0,0,0,0,0,0,0,0,tr1,1,Fernando Muslera,Galatasaray,Süper Lig,1,Goalkeeper,"Jun 16, 1986",38,https://tmssl.akamaized.net//images/flagge/verysmall/179.png?lm=1520611569,"1,90m",right,"Jun 30, 2025",€1.10m,https://img.a.transfermarkt.technology/portrait/medium/58088-1671035581.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
2,2,Günay Güvenç,58,60.0,GK,60,55,60,40,55,40,55,45,45,50,60,65,60,85,70,75,60,50,60,70,65,60,50,70,35,70,25,65,70,40,40,60,70,50,70,65,40,50,65,45,15,55,0,0,0,0,0,0,0,0,0,tr1,1,Günay Güvenç,Galatasaray,Süper Lig,19,Goalkeeper,"Jun 25, 1991",33,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,87m",right,"Jun 30, 2026",€550k,https://img.a.transfermarkt.technology/portrait/medium/114422-1665482264.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
3,3,Batuhan Şen,55,60.0,GK,55,50,55,35,75,60,60,30,50,70,45,65,45,65,60,50,50,50,70,50,75,50,60,60,30,35,15,75,60,45,55,45,60,50,80,55,45,55,50,40,25,40,0,0,0,0,0,0,0,0,0,tr1,1,Batuhan Şen,Galatasaray,Süper Lig,12,Goalkeeper,"Feb 3, 1999",25,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,94m",right,"Jun 30, 2026",€375k,https://img.a.transfermarkt.technology/portrait/medium/352659-1693840675.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
4,4,Atakan Ordu,35,,GK,50,45,50,25,55,40,35,40,40,50,55,55,40,75,65,50,50,35,45,50,40,50,30,75,25,30,10,50,55,45,55,45,60,45,65,55,50,40,45,30,15,35,0,0,0,0,0,0,0,0,0,tr1,1,Atakan Ordu,Galatasaray,Süper Lig,38,Goalkeeper,"Mar 29, 2005",19,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,90m",right,"Jun 30, 2025",€50k,https://img.a.transfermarkt.technology/portrait/medium/873532-1725634136.jpeg?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
5,5,Davinson Sánchez,70,75.0,DC,0,60,75,50,0,0,0,0,65,0,0,0,65,0,0,0,0,75,60,75,60,60,55,70,50,45,50,65,70,50,70,75,70,65,75,75,75,75,80,40,35,65,35,35,50,35,70,45,40,70,80,tr1,1,Davinson Sánchez,Galatasaray,Süper Lig,6,Centre-Back,"Jun 12, 1996",28,https://tmssl.akamaized.net//images/flagge/verysmall/83.png?lm=1520611569,"1,87m",right,"Jun 30, 2027",€18.00m,https://img.a.transfermarkt.technology/portrait/medium/341429-1728904655.jpg?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
6,6,Victor Nelsson,68,72.0,DC,0,65,65,40,0,0,0,0,50,0,0,0,55,0,0,0,0,65,75,80,60,80,75,75,20,70,25,85,75,50,70,50,55,70,65,75,55,65,70,20,30,50,15,30,30,25,50,25,20,80,75,tr1,1,Victor Nelsson,Galatasaray,Süper Lig,25,Centre-Back,"Oct 14, 1998",26,https://tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1520611569,"1,85m",right,"Jun 30, 2026",€16.00m,https://img.a.transfermarkt.technology/portrait/medium/422951-1671036376.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
7,7,Abdülkerim Bardakcı,68,70.0,DC,0,70,65,55,0,0,0,0,60,0,0,0,70,0,0,0,0,85,70,85,75,75,70,75,50,70,50,70,70,65,75,50,55,75,70,80,55,60,75,30,35,65,40,50,50,40,75,50,45,70,70,tr1,1,Abdülkerim Bardakcı,Galatasaray,Süper Lig,42,Centre-Back,"Sep 7, 1994",30,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,85m",left,"Jun 30, 2025",€7.50m,https://img.a.transfermarkt.technology/portrait/medium/199316-1671036661.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
8,8,Metehan Baltacı,53,,DC,0,60,65,40,0,0,0,0,45,0,0,0,50,0,0,0,0,70,50,80,70,65,50,85,45,50,35,65,60,45,70,55,50,60,70,75,65,60,65,15,25,45,15,35,40,30,60,25,50,65,65,tr1,1,Metehan Baltacı,Galatasaray,Süper Lig,90,Centre-Back,"Nov 3, 2002",22,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,89m",right,"Jun 30, 2026",€1.60m,https://img.a.transfermarkt.technology/portrait/medium/618869-1671037619.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
9,9,Ali Yeşilyurt,38,,DC,0,50,50,35,0,0,0,0,35,0,0,0,40,0,0,0,0,60,50,60,55,50,40,60,25,40,25,55,60,40,60,40,40,50,70,45,55,50,60,25,25,40,20,20,25,25,50,35,35,60,60,tr1,1,Ali Yeşilyurt,Galatasaray,Süper Lig,58,Centre-Back,"Jul 30, 2005",19,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,92m",right,"Jun 30, 2025",€75k,https://img.a.transfermarkt.technology/portrait/medium/942939-1701182854.png?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
10,10,Ismail Jakobs,61,68.0,"WBL, ML",0,55,65,50,0,0,0,0,60,0,0,0,55,0,0,0,0,80,60,65,45,45,50,70,50,30,55,50,60,45,70,75,55,60,40,60,85,75,50,40,45,55,60,65,60,45,40,45,45,50,55,tr1,1,Ismail Jakobs,Galatasaray,Süper Lig,4,Left-Back,"Aug 17, 1999",25,https://tmssl.akamaized.net//images/flagge/verysmall/149.png?lm=1520611569,"1,84m",left,"Jun 30, 2025",€8.00m,https://img.a.transfermarkt.technology/portrait/medium/375137-1666691935.jpg?lm=1,Süper Lig,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,28,26.7,16,€9.36m,€262.05m,Süper Lig,https://tmssl.akamaized.net//images/logo/header/tr1.png?lm=1723019495,Türkiye,19 teams,563,262,€2.04m,26.5,Victor Osimhen,€1.15bn
