footballer_id,footballer_name,club
70,Ali Al Musrati,Besiktas JK
71,Junior Onana,Besiktas JK
78,Baqtiiar Zainutdinov,Besiktas JK
91,Arsenii Batahov,Trabzonspor
110,Tony Nwakaeme,Trabzonspor
121,Yusuf Yılmaz,Basaksehir FK
130,Sefa Kavraz,Basaksehir FK
136,Dimitris Pelkas,Basaksehir FK
150,Husniddin Aliqulov,Caykur Rizespor
152,Seyfettin Yaşar,Caykur Rizespor
154,Halil İbrahim Pehlivan,Caykur Rizespor
168,David Akintola,Caykur Rizespor
183,Djalma,Göztepe
194,İzzet Malak,Göztepe
197,Datro Fofana,Göztepe
198,Rômulo Cardoso,Göztepe
199,Juan Santos,Göztepe
203,Cengiz Alp Köseer,Eyüpspor
221,Tasos Chatzigiovanis,Eyüpspor
247,Mohammed Ouanes,Kasimpasa
268,Haluk Tan,Samsunspor
273,Muhammet Özbaskıcı,Samsunspor
285,Berhan Deniz,Samsunspor
290,Thalisson Kelven,Antalyaspor
302,Jakub Kałuziński,Antalyaspor
308,Ramzi Safouri,Antalyaspor
338,Hwang Ui-Jo,Alanyaspor
342,Jakub Słowik,Konyaspor
357,Adem Kabak,Konyaspor
370,Ðorde Nikolic,Sivasspor
386,Charis Charisis,Sivasspor
387,Aziz Turg'unboyev,Sivasspor
395,Turaç Böke,Sivasspor
404,Dimitris Kolovetsios,Kayserispor
409,Kartal Kayra Yılmaz,Kayserispor
425,Emir Dadük,Hatayspor
430,Recep Burak Yılmaz,Hatayspor
451,Mustafa Bozan,Gaziantep FK
464,Kacper Kozłowski,Gaziantep FK
503,Osman Haqi,Bodrum FK
511,Deniz Dönmezer,Adana Demirspor
530,Moataz Nourani,Adana Demirspor
533,Abat Aiymbetov,Adana Demirspor
534,Ozan Demirbağ,Adana Demirspor
539,Jan Ziółkowski,Legia Warszawa
544,Jan Leszczynski,Legia Warszawa
547,Paweł Wszołek,Legia Warszawa
550,Rafał Augustyniak,Legia Warszawa
558,Jakub Żewłakow,Legia Warszawa
575,Wojciech Monka,Lech Poznan
576,Michał Gurgul,Lech Poznan
582,Radosław Murawski,Lech Poznan
583,Filip Jagiełło,Lech Poznan
609,Srđan Plavšić,Raków Częstochowa
610,Jean Carlos,Raków Częstochowa
623,Sławomir Abramowicz,Jagiellonia Bialystok
624,Miłosz Piekutowski,Jagiellonia Bialystok
635,JJarosław Kubicki,Jagiellonia Bialystok
640,Kristoffer Normann Hansen,Jagiellonia Bialystok
644,Lamine Diaby Fadiga,Jagiellonia Bialystok
647,Rafał Leszczyński,Slask Wroclaw
649,Bartosz Głogowski,Slask Wroclaw
650,Aleks Petkov,Slask Wroclaw
651,Łukasz Bejger,Slask Wroclaw
660,Aleksander Wołczek,Slask Wroclaw
661,Łukasz Gerstenstein,Slask Wroclaw
674,Jakub Świerczek,Slask Wroclaw
679,Konrad Golonka,Cracovia
687,Patryk Sokołowski,Cracovia
