footballer_id,footballer_name
1,Fernando Muslera
2,Günay Güvenç
3,Batuhan Şen
4,Atakan Ordu
5,Davinson Sánchez
6,Victor Nelsson
7,Abdülkerim Bardakcı
8,Metehan Baltacı
9,Ali Yeşilyurt
10,Ismail Jakobs
11,Elias Jelert
12,Kaan Ayhan
13,Lucas Torreira
14,Efe Akman
15,Gabriel Sara
16,Kerem Demirbay
17,Berkan Kutlu
18,Eyüp Aydın
19,Gökdeniz Gürpüz
20,Yunus Akgün
21,Barış Alper Yılmaz
22,Roland Sallai
23,Hakim Ziyech
24,Yusuf Demir
25,Dries Mertens
26,Victor Osimhen
27,Mauro Icardi
28,Michy Batshuayi
29,Dominik Livakovic
30,İrfan Can Eğribayat
31,Ertuğrul Çetin
32,Çağlar Söyüncü
33,Alexander Djiku
34,Rodrigo Becão
35,Samet Akaydin
36,Serdar Aziz
37,Jayden Oosterwolde
38,Filip Kostić
39,Levent Mercan
40,Bright Osayi-Samuel
41,Mert Müldür
42,Sofyan Amrabat
43,İsmail Yüksek
44,Bartuğ Elmaz
45,Fred
46,Sebastian Szymański
47,Mert Hakan Yandaş
48,Allan Saint-Maximin
49,Oğuz Aydın
50,İrfan Can Kahveci
51,Cengiz Ünder
52,Dusan Tadic
53,Burak Kapacak
54,Youssef En-Nesyri
55,Edin Dzeko
56,Cenk Tosun
57,Ersin Destanoğlu
58,Mert Günok
59,Emir Yaşar
60,Göktuğ Baytekin
61,Felix Uduokhai
62,Emirhan Topçu
63,Tayyip Talha Sanuç
64,Gabriel Paulista
65,Necip Uysal
66,Arthur Masuaku
67,Emrecan Terzi
68,Jonas Svensson
69,Onur Bulut
70,Moatasem Al-Musrati
71,Jean Onana
72,Gedson Fernandes
73,Cher Ndour
74,João Mário
75,Salih Uçan
76,Alex Oxlade-Chamberlain
77,Fahri Ay
78,Bakhtiyor Zaynutdinov
79,Semih Kılıçsoy
80,Ernest Muci
81,Arda Kılıç
82,Milot Rashica
83,Can Keleş
84,Rafa
85,Ciro Immobile
86,Mustafa Hekimoğlu
87,Uğurcan Çakır
88,Onuralp Çevikkan
89,Taha Tepe
90,Serdar Saatçı
91,Arseniy Batagov
92,Stefano Denswil
93,Stefan Savic
94,Hüseyin Türkmen
95,Ali Şahin Yılmaz
96,Eren Elmalı
97,Borna Barisic
98,Arif Boşluk
99,Pedro Malheiro
100,Serkan Asan
101,Batista Mendy
102,John Lundstram
103,Okay Yokuşlu
104,Salih Malkoçoğlu
105,Ozan Tufan
106,Umut Güneş
107,Enis Bardhi
108,Muhammed Cham
109,Mislav Orsic
110,Anthony Nwakaeme
111,Cihan Çanak
112,Edin Visca
113,Simon Banza
114,Enis Destan
115,Denis Drăguș
116,Umut Bozok
117,Poyraz Yıldırım
118,Muhammed Şengezer
119,Deniz Dilmen
120,Volkan Babacan
121,Yusuf Yılmaz
122,Jerome Opoku
123,Ousseynou Ba
124,Hamza Güreler
125,Lucas Lima
126,Emre Kaplan
127,Eren Karaağaç
128,Léo Duarte
129,Ömer Ali Şahiner
130,Burak Sefa Kavraz
131,Berat Özdemir
132,Onur Ergün
133,Berkay Özcan
134,Miguel Crespo
135,Olivier Kemen
136,Dimitrios Pelkas
137,Matchoi Djaló
138,Ömer Beyaz
139,Davidson
140,Serdar Gürler
141,Deniz Türüç
142,Patryk Szysz
143,Krzysztof Piatek
144,João Figueiredo
145,Philippe Keny
146,Ivo Grbic
147,Tarık Çetin
148,Canberk Yurdakul
149,Attila Mocsi
150,Khusniddin Alikulov
151,Ayberk Karapo
152,Anıl Yaşar
153,Casper Højer
154,İbrahim Pehlivan
155,Taha Şahin
156,Eray Korkmaz
157,Amir Hadziahmetovic
158,Giannis Papanikolaou
159,Efe Geçim
160,Ibrahim Olawoyin
161,Muhamed Buljubasic
162,Mithat Pala
163,Dal Varesanovic
164,Altin Zeqiri
165,Benhur Keser
166,Emrecan Bulut
167,Rachid Ghezzal
168,David Akintola
169,Vaclav Jurecka
170,Martin Minchev
171,Ali Sowe
172,Mateusz Lis
173,Arda Özçimen
174,Emircan Seçgin
175,Yiğit Yıldız
176,Taha Altıkardeş
177,Malcom Bokele
178,Novatus Miroshi
179,Koray Günter
180,Héliton
181,Lasse Nielsen
182,Ege Yıldırım
183,Djalma Silva
184,İsmail Köybaşı
185,Ogün Bayrak
186,Nazım Sangaré
187,Anthony Dennis
188,Doğan Erdoğan
189,Kuryu Matsuki
190,Yalçın Kayan
191,Isaac Solet
192,Ahmed Ildız
193,Tuğbey Akgün
194,Furkan Malak
195,Victor Hugo
196,David Tijanic
197,David Datro Fofana
198,Rômulo
199,Juan
200,Kubilay Kanatsızkuş
201,Berke Özer
202,Birkan Tetik
203,Alp Köseer
204,Rúben Vezo
205,Robin Yalçın
206,Luccas Claro
207,Umut Meraş
208,Caner Erkin
209,Léo Dubois
210,Tayfur Bingöl
211,Erdem Gökçe
212,Melih Kabasakal
213,Taşkın İlter
214,Jonjo Shelvey
215,Fredrik Midtsjø
216,Dorukhan Toköz
217,Emre Akbaba
218,Recep Niyaz
219,Samu Saiz
220,Ahmed Kutucu
221,Anastasios Chatzigiovanis
222,Prince Ampem
223,Emre Mor
224,Halil Akbunar
225,Sinan Gümüş
226,Mame Thiam
227,Gianni Bruno
228,Andreas Gianniotis
229,Ali Emre Yanar
230,Yasin Özcan
231,Kenneth Omeruo
232,Nicholas Opoku
233,Taylan Aydın
234,Sadık Çiftpınar
235,Kévin Rodrigues
236,Adnan Aktaş
237,Cláudio Winck
238,Jhon Espinoza
239,Gökhan Gül
240,Loret Sadiku
241,Driess Saddiki
242,Aytaç Kara
243,Cafú
244,Antonín Barák
245,Haris Hajradinovic
246,Josip Brekalo
247,Mortadha Ben Ouanes
248,Erdem Çetinkaya
249,Berat Kalkan
250,Mamadou Fall
251,Emirhan Yiğit
252,Nuno Da Costa
253,Sarp Yavrucu
254,Ali Demirel
255,Okan Kocuk
256,Halil Yeral
257,Taha Tosun
258,Muammer Yıldırım
259,Rick van Drongelen
260,Lubomir Satka
261,Yunus Emre Çift
262,Bedirhan Çetin
263,Elano Yegen
264,Marc Bola
265,Soner Gönül
266,Enes Albak
267,Nanu
268,Mustafa Tan
269,Zeki Yavru
270,Youssef Aït Bennasser
271,Flavien Tait
272,Celil Yüksel
273,Muhammet Ali Özbaskıcı
274,Soner Aydoğdu
275,Carlo Holse
276,Olivier Ntcham
277,Emre Kılınç
278,Arbnor Muja
279,Kingsley Schindler
280,Moussa Guel
281,Marius Mouandilmadji
282,Landry Dimata
283,Ercan Kara
284,Gaëtan Laura
285,Berhan Deniz
286,Kenan Piric
287,Abdullah Yiğiter
288,Kağan Arıcan
289,Doğukan Özkan
290,Thalisson
291,Emrecan Uzunhan
292,Bahadır Öztürk
