player_id,footballer_id,footballer_name,total_played,started,minutes_per_game,total_minutes_played,team_of_the_week,goals_conceded_per_game,penalties_saved,saves_per_game,succ_runs_out_per_game,goals_conceded,conceded_from_inside_box,conceded_from_outside_box,saves_made,goals_prevented,saves_from_inside_box,saves_from_outside_box,saves_caught,saves_parried,goals,scoring_frequency,goals_per_game,shots_per_game,shots_on_target_per_game,big_chances_missed,goal_conversion,penalty_goals,penalty_conversion,free_kick_goals,free_kick_conversion,goals_from_inside_the_box,goals_from_outside_the_box,headed_goals,left_foot_goals,right_foot_goals,penalty_won,assists,expected_assists_xa,touches_per_game,big_chances_created,key_passes_per_game,accurate_per_game,acc_own_half,acc_opposition_half,acc_long_balls,acc_chipped_passes,acc_crosses,clean_sheets,interceptions_per_game,tackles_per_game,possession_won_final_third,balls_recovered_per_game,dribbled_past_per_game,clearances_per_game,errors_leading_to_shot,errors_leading_to_goal,penalties_committed,succ_dribbles,total_duels_won,ground_duels_won,aerial_duels_won,possession_lost,fouls,was_fouled,offsides,goal_kicks_per_game,yellow,yellow_red,red_cards,average_sofascore_rating
1,1,Fernando Muslera,26,26,90,2340,2,1,0,2.6,0.8,27,26,1,67,6.88,42,24,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,42.6,0,0,24.8,20.7,4.1,6.4,2.2,0,8,0,0,0,9.4,0,1,1,1,0,0,0.6,0.2,0.4,7.8,0,0.3,0,5.8,6,0,0,7.08
2,2,Günay Güvenç,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Batuhan Şen,4,4,90,360,0,2.5,0,2.8,0.5,10,10,0,11,-0.29,7,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0.3,13,12,1,2,1,0,0,0,0,0,5.3,0,0.5,0,0,0,0,0.3,0.3,0,12.3,0,0.3,0,9.5,0,0,0,6.48
4,4,Atakan Ordu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Davinson Sánchez,7,6,87,607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0.6,0.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,56.9,0,0.4,38.1,23,15.1,3.4,2.1,0,2,0.3,2.1,0,2.9,1.1,3.7,1,0,0,0,4.7,2.3,2.4,8.9,1.3,0.1,0,0,2,0,0,7.15
6,6,Victor Nelsson,4,4,84,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,30.5,23.3,7.3,1.3,1.3,0,1,1,1.8,0,2.3,0.5,3.5,0,0,0,0,5.8,3,2.8,6,2.5,1.5,0.3,0,1,0,0,6.66
7,7,Abdülkerim Bardakcı,5,5,90,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.6,0,0.6,54.2,33,21.4,3.4,3.2,0.2,3,1.8,1,0.2,4.2,0,2.4,1,0,0,0.2,5.2,1.6,3.6,13,0.6,0.4,0.2,0,2,0,0,7.04
8,8,Metehan Baltacı,8,4,32,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,1,0,0,0,0,0,0,0,0,0,0,0,1,0.05,20,1,0.1,14.5,10.4,4.3,0.6,0.3,0.1,0,0.5,0.4,0,0.5,0.6,1.4,0,0,0,0,1.1,0.4,0.8,1.3,0.6,0,0,0,0,0,1,6.66
9,9,Ali Yeşilyurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,Ismail Jakobs,12,11,70,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.44,47.3,1,0.3,21.4,10.8,10.9,1.6,1,0.3,1,0.8,1.2,0,2.9,0.2,2.8,0,0,1,0,2.8,1.7,1.2,12.3,0.7,0.5,0,0,1,0,0,6.98
