recommended_club,recommended_position,footballer_name_footballer,age,rating,potential,market_value,club,score,priority_score
Adana Demirspor,LB,Batuhan Adıgüzel,23,48,60.0,600000.0,Bandırmaspor,86.4125,7.33
Adana Demirspor,LB,Nafican Yardımcı,23,48,63.0,100000.0,Şanlıurfaspor,86.11250000000001,7.33
Adana Demirspor,LB,Arif Boşluk,21,48,68.0,275000.0,Trabzonspor,85.86363636363637,7.33
Adana Demirspor,LB,Cemali Sertel,24,53,65.0,1100000.0,Hatayspor,84.662,7.33
Adana Demirspor,LB,Furkan Doğan,23,48,60.0,100000.0,Pendikspor,83.4125,7.33
Adana Demirspor,LB,Cenk Şen,24,53,60.0,800000.0,Bodrum FK,83.412,7.33
Adana Demirspor,LB,Emir Tintiş,20,48,61.78,200000.0,Fatih Karagümrük,83.37628571428571,7.33
Adana Demirspor,LB,Godfrey Stephen,24,50,58.0,400000.0,Gaziantep FK,81.712,7.33
Adana Demirspor,LB,Engin Can Aksoy,21,45,56.9,100000.0,Sakaryaspor,81.27363636363637,7.33
Adana Demirspor,LB,Emrecan Terzi,20,48,61.705,300000.0,Besiktas JK,81.09628571428571,7.33
Adana Demirspor,CM,Check Oumar Diakité,22,53,65.04,450000.0,Adanaspor,95.92904347826088,3.88
Adana Demirspor,CM,Tunahan Ergül,24,55,68.0,125000.0,Çorum FK,92.462,3.88
Adana Demirspor,CM,Kerem Atakan Kesgin,24,55,63.86,900000.0,Bandırmaspor,90.806,3.88
Adana Demirspor,CM,Mithat Pala,24,58,65.0,900000.0,Caykur Rizespor,89.912,3.88
Adana Demirspor,CM,Eyüp Aydın,20,53,66.33,1100000.0,Galatasaray,89.69628571428571,3.88
Adana Demirspor,CM,Cem Türkmen,22,53,70.0,400000.0,Ankaragücü,89.66304347826087,3.88
Adana Demirspor,CM,Adnan Uğur,23,50,61.845,450000.0,Fatih Karagümrük,89.2505,3.88
Adana Demirspor,CM,Ali Kaan Güneren,24,53,65.0,1400000.0,Ankaragücü,89.162,3.88
Adana Demirspor,CM,Flavio Paoletti,21,53,66.24,900000.0,Fatih Karagümrük,88.15963636363637,3.88
Adana Demirspor,CM,Aliou Traoré,23,53,68.0,500000.0,Ankara Keçiörengücü,87.36250000000001,3.88
Adana Demirspor,RW,Pedro Brazão,21,53,65.405,650000.0,Bodrum FK,93.07563636363636,2.37
Adana Demirspor,RW,Demba Diallo,24,53,60.0,700000.0,Manisa FK,91.662,2.37
Adana Demirspor,RW,Juan Christian,23,52,61.0,450000.0,Alanyaspor,88.7625,2.37
Adana Demirspor,RW,Camilo Mena,22,53,65.0,1200000.0,Lechia Gdansk,88.41304347826087,2.37
Adana Demirspor,RW,Burak Kapacak,24,55,65.0,275000.0,Fenerbahce,88.262,2.37
Adana Demirspor,RW,Taofeek Ismaheel,24,54,59.0,600000.0,Górnik Zabrze,87.06200000000001,2.37
Adana Demirspor,RW,Loide Augusto,24,55,60.0,1400000.0,Alanyaspor,86.262,2.37
Adana Demirspor,RW,Benny,24,53,60.0,500000.0,Ümraniyespor,84.912,2.37
Adana Demirspor,RW,Elias Durmaz,24,48,63.0,100000.0,Gençlerbirliği SK,83.862,2.37
Adana Demirspor,RW,Doğukan Emeksiz,24,48,58.0,200000.0,Adanaspor,82.612,2.37
Adanaspor,LB,Nafican Yardımcı,23,48,63.0,100000.0,Şanlıurfaspor,86.11250000000001,2.33
Adanaspor,LB,Arif Boşluk,21,48,68.0,275000.0,Trabzonspor,85.86363636363637,2.33
Adanaspor,LB,Furkan Doğan,23,48,60.0,100000.0,Pendikspor,83.4125,2.33
Adanaspor,LB,Emir Tintiş,20,48,61.78,200000.0,Fatih Karagümrük,83.37628571428571,2.33
Adanaspor,LB,Engin Can Aksoy,21,45,56.9,100000.0,Sakaryaspor,81.27363636363637,2.33
Adanaspor,LB,Emrecan Terzi,20,48,61.705,300000.0,Besiktas JK,81.09628571428571,2.33
Adanaspor,LB,Umut Erdem,20,43,56.63,150000.0,Manisa FK,79.81628571428571,2.33
Adanaspor,LB,Faruk Can Genç,24,45,60.0,150000.0,Bandırmaspor,78.762,2.33
Adanaspor,LB,Erkan Sasa,21,43,56.615,25000.0,Amed SK,77.55963636363637,2.33
Adanaspor,LB,Enes Albak,19,40,53.845,125000.0,Samsunspor,77.053,2.33
Adanaspor,LW,Mustafa Fettahoğlu,23,48,60.635,150000.0,Erzurumspor FK,88.1665,2.33
Adanaspor,LW,Ali Yavuz Kol,23,55,64.965,300000.0,Adana Demirspor,87.4985,2.33
Adanaspor,LW,Motez Nourani,22,48,63.0,150000.0,Adana Demirspor,86.86304347826086,2.33
Adanaspor,LW,Altar Hidayetoğlu,23,48,60.0,100000.0,Esenler Erokspor,85.6625,2.33
Adanaspor,LW,Capita,22,49,61.0,250000.0,Radomiak Radom,85.61304347826088,2.33
Adanaspor,LW,Bradly van Hoeven,24,51,57.0,275000.0,Motor Lublin,85.362,2.33
Adanaspor,LW,Emrecan Bulut,22,48,58.0,275000.0,Caykur Rizespor,84.86304347826086,2.33
Adanaspor,LW,Efe Taylan Altunkara,20,40,65.0,150000.0,Manisa FK,83.0142857142857,2.33
Adanaspor,LW,Furkan Gedik,22,45,65.0,225000.0,Kocaelispor,80.01304347826087,2.33
Adanaspor,LW,Berat Kalkan,21,43,56.71,200000.0,Kasimpasa,79.84763636363637,2.33
Adanaspor,RW,Burak Kapacak,24,55,65.0,275000.0,Fenerbahce,88.262,2.3
Adanaspor,RW,Elias Durmaz,24,48,63.0,100000.0,Gençlerbirliği SK,83.862,2.3
Adanaspor,RW,Eren Erdoğan,23,45,58.0,150000.0,Gaziantep FK,82.4625,2.3
Adanaspor,RW,Arda Akgün,17,38,52.98,25000.0,Fatih Karagümrük,80.60866666666666,2.3
Adanaspor,RW,Mateusz Stepien,22,47,58.0,250000.0,Puszcza Niepolomice,80.06304347826088,2.3
Adanaspor,RW,Marcel Wedrychowski,22,44,60.0,200000.0,Pogon Szczecin,79.96304347826087,2.3
Adanaspor,RW,Guilherme Zimovski,20,39,52.52,150000.0,Radomiak Radom,76.9722857142857,2.3
Adanaspor,RW,Tunahan Taşçı,22,45,55.0,300000.0,Konyaspor,76.76304347826087,2.3
Adanaspor,RW,Mehmet Yüksel,22,41,52.88,25000.0,Şanlıurfaspor,75.46504347826087,2.3
Adanaspor,RW,Kacper Sezonienko,21,46,57.205,300000.0,Lechia Gdansk,74.94563636363637,2.3
Alanyaspor,DM,Noah Diliberto,23,54,70.0,300000.0,Widzew Lodz,92.9625,2.5
Alanyaspor,DM,Lamine Diack,24,53,63.0,1200000.0,Hatayspor,90.61200000000001,2.5
Alanyaspor,DM,Mert Çölgeçen,23,50,63.0,175000.0,Iğdır FK,89.7125,2.5
Alanyaspor,DM,Ivan Zhelizko,23,53,66.0,800000.0,Lechia Gdansk,88.8125,2.5
Alanyaspor,DM,Orhan Nahırcı,24,48,60.0,150000.0,Ankara Keçiörengücü,88.662,2.5
Alanyaspor,DM,Louis D'Arrigo,23,47,60.0,300000.0,Lechia Gdansk,88.3625,2.5
Alanyaspor,DM,Yohan Cassubie,24,51,64.0,650000.0,Amed SK,88.162,2.5
Alanyaspor,DM,Jurgen Çelhaka,23,51,59.0,500000.0,Legia Warszawa,87.6625,2.5
Alanyaspor,DM,Gabriel Obekpa,20,48,50.0,100000.0,Bodrum FK,86.91428571428571,2.5
Alanyaspor,DM,Andrej Djokanovic,23,50,61.79,1100000.0,Ümraniyespor,86.2285,2.5
Alanyaspor,RB,Peter Kovacik,23,53,63.0,1200000.0,Jagiellonia Bialystok,89.11250000000001,2.5
Alanyaspor,RB,Taha Şahin,24,55,63.0,1200000.0,Caykur Rizespor,88.962,2.5
Alanyaspor,RB,Eray Korkmaz,21,50,62.51,300000.0,Caykur Rizespor,87.26763636363637,2.5
Alanyaspor,RB,Kerem Kalafat,23,50,60.0,600000.0,Çorum FK,87.0125,2.5
Alanyaspor,RB,Berkan Keskin,22,50,60.74,225000.0,Iğdır FK,85.80904347826088,2.5
Alanyaspor,RB,İsmail Çokçalış,24,50,58.0,325000.0,Ankaragücü,85.462,2.5
Alanyaspor,RB,Ioan-Calin Revenco,24,48,54.0,400000.0,Puszcza Niepolomice,84.762,2.5
Alanyaspor,RB,Zié Ouattara,24,51,57.0,600000.0,Radomiak Radom,84.612,2.5
Alanyaspor,RB,Mustafa Tan,19,43,55.445,400000.0,Samsunspor,80.093,2.5
Alanyaspor,RB,Norbert Wojtuszek,23,47,59.0,350000.0,Górnik Zabrze,79.7125,2.5
Alanyaspor,CM,Check Oumar Diakité,22,53,65.04,450000.0,Adanaspor,95.92904347826088,2.33
Alanyaspor,CM,Tunahan Ergül,24,55,68.0,125000.0,Çorum FK,92.462,2.33
Alanyaspor,CM,Kerem Atakan Kesgin,24,55,63.86,900000.0,Bandırmaspor,90.806,2.33
Alanyaspor,CM,Mithat Pala,24,58,65.0,900000.0,Caykur Rizespor,89.912,2.33
Alanyaspor,CM,Eyüp Aydın,20,53,66.33,1100000.0,Galatasaray,89.69628571428571,2.33
Alanyaspor,CM,Cem Türkmen,22,53,70.0,400000.0,Ankaragücü,89.66304347826087,2.33
Alanyaspor,CM,Adnan Uğur,23,50,61.845,450000.0,Fatih Karagümrük,89.2505,2.33
Alanyaspor,CM,Ali Kaan Güneren,24,53,65.0,1400000.0,Ankaragücü,89.162,2.33
Alanyaspor,CM,Flavio Paoletti,21,53,66.24,900000.0,Fatih Karagümrük,88.15963636363637,2.33
Alanyaspor,CM,Aliou Traoré,23,53,68.0,500000.0,Ankara Keçiörengücü,87.36250000000001,2.33
Amed SK,CM,Check Oumar Diakité,22,53,65.04,450000.0,Adanaspor,95.92904347826088,2.44
Amed SK,CM,Tunahan Ergül,24,55,68.0,125000.0,Çorum FK,92.462,2.44
Amed SK,CM,Cem Türkmen,22,53,70.0,400000.0,Ankaragücü,89.66304347826087,2.44
Amed SK,CM,Adnan Uğur,23,50,61.845,450000.0,Fatih Karagümrük,89.2505,2.44
Amed SK,CM,Aliou Traoré,23,53,68.0,500000.0,Ankara Keçiörengücü,87.36250000000001,2.44
Amed SK,CM,Nsana Simon,24,48,59.0,200000.0,Sakaryaspor,85.262,2.44
Amed SK,CM,Abdoulaye Dabo,23,48,58.0,400000.0,Adanaspor,84.86250000000001,2.44
Amed SK,CM,Janne-Pekka Laine,23,48,60.54,250000.0,Esenler Erokspor,84.3785,2.44
Amed SK,CM,Enes Keskin,23,48,63.0,250000.0,Pendikspor,83.86250000000001,2.44
Amed SK,CM,Buluthan Bulut,22,45,59.795,50000.0,Alanyaspor,82.43104347826088,2.44
Amed SK,RW,Pedro Brazão,21,53,65.405,650000.0,Bodrum FK,93.07563636363636,2.37
Amed SK,RW,Juan Christian,23,52,61.0,450000.0,Alanyaspor,88.7625,2.37
Amed SK,RW,Burak Kapacak,24,55,65.0,275000.0,Fenerbahce,88.262,2.37
Amed SK,RW,Taofeek Ismaheel,24,54,59.0,600000.0,Górnik Zabrze,87.06200000000001,2.37
Amed SK,RW,Benny,24,53,60.0,500000.0,Ümraniyespor,84.912,2.37
Amed SK,RW,Elias Durmaz,24,48,63.0,100000.0,Gençlerbirliği SK,83.862,2.37
Amed SK,RW,Doğukan Emeksiz,24,48,58.0,200000.0,Adanaspor,82.612,2.37
Amed SK,RW,Eren Erdoğan,23,45,58.0,150000.0,Gaziantep FK,82.4625,2.37
Amed SK,RW,Arda Akgün,17,38,52.98,25000.0,Fatih Karagümrük,80.60866666666666,2.37
Amed SK,RW,Mateusz Stepien,22,47,58.0,250000.0,Puszcza Niepolomice,80.06304347826088,2.37
Ankara Keçiörengücü,RW,Juan Christian,23,52,61.0,450000.0,Alanyaspor,88.7625,2.43
Ankara Keçiörengücü,RW,Burak Kapacak,24,55,65.0,275000.0,Fenerbahce,88.262,2.43
Ankara Keçiörengücü,RW,Elias Durmaz,24,48,63.0,100000.0,Gençlerbirliği SK,83.862,2.43
Ankara Keçiörengücü,RW,Doğukan Emeksiz,24,48,58.0,200000.0,Adanaspor,82.612,2.43
Ankara Keçiörengücü,RW,Eren Erdoğan,23,45,58.0,150000.0,Gaziantep FK,82.4625,2.43
Ankara Keçiörengücü,RW,Arda Akgün,17,38,52.98,25000.0,Fatih Karagümrük,80.60866666666666,2.43
Ankara Keçiörengücü,RW,Mateusz Stepien,22,47,58.0,250000.0,Puszcza Niepolomice,80.06304347826088,2.43
Ankara Keçiörengücü,RW,Marcel Wedrychowski,22,44,60.0,200000.0,Pogon Szczecin,79.96304347826087,2.43
Ankara Keçiörengücü,RW,Jakub Sypek,23,45,59.0,350000.0,Widzew Lodz,79.11250000000001,2.43
Ankara Keçiörengücü,RW,Mbaye Ndiaye,21,49,61.885,450000.0,Motor Lublin,77.71763636363637,2.43
Ankara Keçiörengücü,CM,Check Oumar Diakité,22,53,65.04,450000.0,Adanaspor,95.92904347826088,2.34
Ankara Keçiörengücü,CM,Tunahan Ergül,24,55,68.0,125000.0,Çorum FK,92.462,2.34
Ankara Keçiörengücü,CM,Cem Türkmen,22,53,70.0,400000.0,Ankaragücü,89.66304347826087,2.34
Ankara Keçiörengücü,CM,Adnan Uğur,23,50,61.845,450000.0,Fatih Karagümrük,89.2505,2.34
