footballer_id,league_id,team_id,footballer_name,club,league_name,trikot_num,position,birthday,age,nationality_img_path,height,feet,contract,market_value,footballer_img_path
1,tr1,1,Fernando Muslera,Galatasaray,Süper Lig,1,Goalkeeper,"Jun 16, 1986",38,https://tmssl.akamaized.net//images/flagge/verysmall/179.png?lm=1520611569,"1,90m",right,"Jun 30, 2025",€1.10m,https://img.a.transfermarkt.technology/portrait/medium/58088-1671035581.png?lm=1
2,tr1,1,Günay Güvenç,Galatasaray,Süper Lig,19,Goalkeeper,"Jun 25, 1991",33,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,87m",right,"Jun 30, 2026",€550k,https://img.a.transfermarkt.technology/portrait/medium/114422-1665482264.png?lm=1
3,tr1,1,Batuhan Şen,Galatasaray,Süper Lig,12,Goalkeeper,"Feb 3, 1999",25,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,94m",right,"Jun 30, 2026",€375k,https://img.a.transfermarkt.technology/portrait/medium/352659-1693840675.png?lm=1
4,tr1,1,Atakan Ordu,Galatasaray,Süper Lig,38,Goalkeeper,"Mar 29, 2005",19,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,90m",right,"Jun 30, 2025",€50k,https://img.a.transfermarkt.technology/portrait/medium/873532-1725634136.jpeg?lm=1
5,tr1,1,Davinson Sánchez,Galatasaray,Süper Lig,6,Centre-Back,"Jun 12, 1996",28,https://tmssl.akamaized.net//images/flagge/verysmall/83.png?lm=1520611569,"1,87m",right,"Jun 30, 2027",€18.00m,https://img.a.transfermarkt.technology/portrait/medium/341429-1728904655.jpg?lm=1
6,tr1,1,Victor Nelsson,Galatasaray,Süper Lig,25,Centre-Back,"Oct 14, 1998",26,https://tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1520611569,"1,85m",right,"Jun 30, 2026",€16.00m,https://img.a.transfermarkt.technology/portrait/medium/422951-1671036376.png?lm=1
7,tr1,1,Abdülkerim Bardakcı,Galatasaray,Süper Lig,42,Centre-Back,"Sep 7, 1994",30,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,85m",left,"Jun 30, 2025",€7.50m,https://img.a.transfermarkt.technology/portrait/medium/199316-1671036661.png?lm=1
8,tr1,1,Metehan Baltacı,Galatasaray,Süper Lig,90,Centre-Back,"Nov 3, 2002",22,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,89m",right,"Jun 30, 2026",€1.60m,https://img.a.transfermarkt.technology/portrait/medium/618869-1671037619.png?lm=1
9,tr1,1,Ali Yeşilyurt,Galatasaray,Süper Lig,58,Centre-Back,"Jul 30, 2005",19,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,92m",right,"Jun 30, 2025",€75k,https://img.a.transfermarkt.technology/portrait/medium/942939-1701182854.png?lm=1
10,tr1,1,Ismail Jakobs,Galatasaray,Süper Lig,4,Left-Back,"Aug 17, 1999",25,https://tmssl.akamaized.net//images/flagge/verysmall/149.png?lm=1520611569,"1,84m",left,"Jun 30, 2025",€8.00m,https://img.a.transfermarkt.technology/portrait/medium/375137-1666691935.jpg?lm=1
11,tr1,1,Elias Jelert,Galatasaray,Süper Lig,24,Right-Back,"Jun 12, 2003",21,https://tmssl.akamaized.net//images/flagge/verysmall/39.png?lm=1520611569,"1,78m",right,"Jun 30, 2029",€8.00m,https://img.a.transfermarkt.technology/portrait/medium/646478-1662491413.jpg?lm=1
12,tr1,1,Kaan Ayhan,Galatasaray,Süper Lig,23,Right-Back,"Nov 10, 1994",30,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,85m",right,"Jun 30, 2026",€4.80m,https://img.a.transfermarkt.technology/portrait/medium/119031-1701181677.png?lm=1
13,tr1,1,Lucas Torreira,Galatasaray,Süper Lig,34,Defensive Midfield,"Feb 11, 1996",28,https://tmssl.akamaized.net//images/flagge/verysmall/179.png?lm=1520611569,"1,66m",right,"Jun 30, 2026",€15.00m,https://img.a.transfermarkt.technology/portrait/medium/318077-1671110829.png?lm=1
14,tr1,1,Efe Akman,Galatasaray,Süper Lig,83,Defensive Midfield,"Mar 20, 2006",18,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,75m",right,"Jun 30, 2028",€600k,https://img.a.transfermarkt.technology/portrait/medium/1016253-1688834724.png?lm=1
15,tr1,1,Gabriel Sara,Galatasaray,Süper Lig,20,Central Midfield,"Jun 26, 1999",25,https://tmssl.akamaized.net//images/flagge/verysmall/26.png?lm=1520611569,"1,77m",left,"Jun 30, 2029",€20.00m,https://img.a.transfermarkt.technology/portrait/medium/553469-1731009174.jpg?lm=1
16,tr1,1,Kerem Demirbay,Galatasaray,Süper Lig,8,Central Midfield,"Jul 3, 1993",31,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,"1,83m",left,"Jun 30, 2026",€4.40m,https://img.a.transfermarkt.technology/portrait/medium/125858-1658913486.jpg?lm=1
17,tr1,1,Berkan Kutlu,Galatasaray,Süper Lig,18,Central Midfield,"Jan 25, 1998",26,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,86m",left,"Jun 30, 2026",€3.80m,https://img.a.transfermarkt.technology/portrait/medium/469787-1671101403.png?lm=1
18,tr1,1,Eyüp Aydın,Galatasaray,Süper Lig,5,Central Midfield,"Aug 2, 2004",20,https://tmssl.akamaized.net//images/flagge/verysmall/40.png?lm=1520612525,"1,81m",both,"Jun 30, 2026",€1.10m,https://img.a.transfermarkt.technology/portrait/medium/605110-1692858797.png?lm=1
19,tr1,1,Gökdeniz Gürpüz,Galatasaray,Süper Lig,33,Central Midfield,"Feb 25, 2006",18,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,76m",right,"Jun 30, 2026",€300k,https://img.a.transfermarkt.technology/portrait/medium/884821-1698926798.jpg?lm=1
20,tr1,1,Yunus Akgün,Galatasaray,Süper Lig,11,Left Winger,"Jul 7, 2000",24,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,73m",left,"Jun 30, 2026",€6.50m,https://img.a.transfermarkt.technology/portrait/medium/396908-1671104289.png?lm=1
21,tr1,1,Barış Alper Yılmaz,Galatasaray,Süper Lig,53,Right Winger,"May 23, 2000",24,https://tmssl.akamaized.net//images/flagge/verysmall/174.png?lm=1520611569,"1,86m",right,"Jun 30, 2027",€21.00m,https://img.a.transfermarkt.technology/portrait/medium/541537-1671104025.png?lm=1
22,tr1,1,Roland Sallai,Galatasaray,Süper Lig,7,Right Winger,"May 22, 1997",27,https://tmssl.akamaized.net//images/flagge/verysmall/178.png?lm=1521635893,"1,83m",both,"Jun 30, 2028",€14.00m,https://img.a.transfermarkt.technology/portrait/medium/332798-1658413418.jpg?lm=1
