League,Week,Date,Home Team,Home Goals,Away Team,Away Goals,Season
Süper Lig,Round 1,05/08/22,İstanbulspor,0,Trabzonspor,2,22/23
Süper Lig,Round 1,06/08/22,Sivasspor,1,Gaziantep,1,22/23
Süper Lig,Round 1,06/08/22,Beşiktaş,1,Kayserispor,0,22/23
Süper Lig,Round 1,07/08/22,Karagümrük,2,Alanyaspor,4,22/23
Süper Lig,Round 1,07/08/22,Giresunspor,2,Adana DS,3,22/23
Süper Lig,Round 1,07/08/22,Antalyaspor,0,Galatasaray,1,22/23
Süper Lig,Round 1,08/08/22,Başakşehir,4,Kasımpaşa,0,22/23
Süper Lig,Round 1,08/08/22,Fenerbahçe,3,Ümraniyespor,3,22/23
Süper Lig,Round 1,08/08/22,Ankaragücü,0,Konyaspor,0,22/23
Süper Lig,Round 2,12/08/22,Trabzonspor,1,Hatayspor,0,22/23
Süper Lig,Round 2,13/08/22,Kayserispor,1,İstanbulspor,0,22/23
Süper Lig,Round 2,13/08/22,Adana DS,3,Sivasspor,0,22/23
Süper Lig,Round 2,13/08/22,Galatasaray,0,Giresunspor,1,22/23
Süper Lig,Round 2,14/08/22,Gaziantep,1,Ankaragücü,0,22/23
Süper Lig,Round 2,14/08/22,Ümraniyespor,0,Antalyaspor,1,22/23
Süper Lig,Round 2,14/08/22,Alanyaspor,3,Beşiktaş,3,22/23
Süper Lig,Round 2,15/08/22,Konyaspor,0,Başakşehir,0,22/23
Süper Lig,Round 2,15/08/22,Kasımpaşa,0,Fenerbahçe,6,22/23
Süper Lig,Round 3,19/08/22,Ümraniyespor,0,Galatasaray,1,22/23
Süper Lig,Round 3,20/08/22,Giresunspor,1,Kasımpaşa,0,22/23
Süper Lig,Round 3,20/08/22,Hatayspor,1,Gaziantep,2,22/23
Süper Lig,Round 3,20/08/22,Antalyaspor,5,Trabzonspor,2,22/23
Süper Lig,Round 3,21/08/22,Başakşehir,2,Kayserispor,0,22/23
Süper Lig,Round 3,21/08/22,Beşiktaş,4,Karagümrük,1,22/23
Süper Lig,Round 3,22/08/22,İstanbulspor,0,Konyaspor,4,22/23
Süper Lig,Round 3,22/08/22,Sivasspor,1,Alanyaspor,1,22/23
Süper Lig,Round 3,22/08/22,Fenerbahçe,4,Adana DS,2,22/23
Süper Lig,Round 4,26/08/22,Gaziantep,5,Antalyaspor,2,22/23
Süper Lig,Round 4,27/08/22,Karagümrük,4,Ankaragücü,1,22/23
Süper Lig,Round 4,27/08/22,Adana DS,1,Ümraniyespor,0,22/23
Süper Lig,Round 4,27/08/22,Alanyaspor,0,İstanbulspor,1,22/23
Süper Lig,Round 4,28/08/22,Kasımpaşa,1,Hatayspor,0,22/23
Süper Lig,Round 4,28/08/22,Kayserispor,3,Giresunspor,0,22/23
Süper Lig,Round 4,28/08/22,Trabzonspor,0,Galatasaray,0,22/23
Süper Lig,Round 4,29/08/22,Konyaspor,1,Fenerbahçe,0,22/23
Süper Lig,Round 4,29/08/22,Beşiktaş,3,Sivasspor,1,22/23
Süper Lig,Round 5,02/09/22,Ümraniyespor,0,Trabzonspor,1,22/23
Süper Lig,Round 5,03/09/22,Başakşehir,2,Alanyaspor,0,22/23
Süper Lig,Round 5,03/09/22,Sivasspor,0,Karagümrük,0,22/23
Süper Lig,Round 5,03/09/22,Fenerbahçe,2,Kayserispor,0,22/23
Süper Lig,Round 5,03/09/22,Giresunspor,0,Konyaspor,1,22/23
Süper Lig,Round 5,04/09/22,Hatayspor,1,Adana DS,1,22/23
Süper Lig,Round 5,04/09/22,Antalyaspor,0,Kasımpaşa,2,22/23
Süper Lig,Round 5,04/09/22,Ankaragücü,2,Beşiktaş,3,22/23
Süper Lig,Round 5,05/09/22,Galatasaray,2,Gaziantep,1,22/23
Süper Lig,Round 6,09/09/22,Alanyaspor,2,Ankaragücü,1,22/23
Süper Lig,Round 6,10/09/22,Konyaspor,1,Hatayspor,0,22/23
Süper Lig,Round 6,10/09/22,Karagümrük,1,Giresunspor,1,22/23
Süper Lig,Round 6,11/09/22,Sivasspor,1,İstanbulspor,1,22/23
Süper Lig,Round 6,11/09/22,Gaziantep,1,Ümraniyespor,1,22/23
Süper Lig,Round 6,11/09/22,Kasımpaşa,2,Galatasaray,3,22/23
Süper Lig,Round 6,11/09/22,Kayserispor,1,Antalyaspor,0,22/23
Süper Lig,Round 6,12/09/22,Beşiktaş,0,Başakşehir,1,22/23
Süper Lig,Round 6,12/09/22,Adana DS,3,Trabzonspor,2,22/23
Süper Lig,Round 7,16/09/22,Galatasaray,2,Konyaspor,1,22/23
Süper Lig,Round 7,16/09/22,Hatayspor,0,Kayserispor,4,22/23
Süper Lig,Round 7,17/09/22,Ümraniyespor,1,Kasımpaşa,2,22/23
Süper Lig,Round 7,17/09/22,Antalyasporx2,0,Adana DS,3,22/23
Süper Lig,Round 7,17/09/22,İstanbulspor,2,Beşiktaş,2,22/23
Süper Lig,Round 7,18/09/22,Başakşehir,0,Karagümrük,0,22/23
Süper Lig,Round 7,18/09/22,Trabzonspor,3,Gaziantep,2,22/23
Süper Lig,Round 7,18/09/22,Fenerbahçe,5,Alanyaspor,0,22/23
Süper Lig,Round 7,18/09/22,Ankaragücü,2,Sivasspor,1,22/23
Süper Lig,Round 8,01/10/22,Kasımpaşa,1,Gaziantep,0,22/23
Süper Lig,Round 8,01/10/22,Kayserispor,1,Trabzonspor,2,22/23
Süper Lig,Round 8,01/10/22,Ankaragücü,1,Başakşehir,2,22/23
Süper Lig,Round 8,01/10/22,Adana DS,0,Galatasaray,0,22/23
Süper Lig,Round 8,02/10/22,Alanyaspor,1,Giresunspor,1,22/23
Süper Lig,Round 8,02/10/22,Sivasspor,1,Hatayspor,2,22/23
Süper Lig,Round 8,02/10/22,Konyaspor,1,Ümraniyespor,0,22/23
Süper Lig,Round 8,02/10/22,Beşiktaş,0,Fenerbahçe,0,22/23
Süper Lig,Round 8,03/10/22,Karagümrük,1,İstanbulspor,2,22/23
Süper Lig,Round 9,07/10/22,Gaziantep,1,Adana DS,1,22/23
Süper Lig,Round 9,08/10/22,İstanbulspor,1,Ankaragücü,2,22/23
Süper Lig,Round 9,08/10/22,Antalyaspor,1,Konyaspor,1,22/23
Süper Lig,Round 9,08/10/22,Giresunspor,0,Beşiktaş,1,22/23
Süper Lig,Round 9,09/10/22,Ümraniyespor,2,Kayserispor,2,22/23
Süper Lig,Round 9,09/10/22,Hatayspor,1,Alanyaspor,0,22/23
Süper Lig,Round 9,09/10/22,Fenerbahçe,5,Karagümrük,4,22/23
Süper Lig,Round 9,10/10/22,Başakşehir,0,Sivasspor,2,22/23
Süper Lig,Round 9,10/10/22,Trabzonspor,0,Kasımpaşa,0,22/23
Süper Lig,Round 10,14/10/22,Alanyaspor,3,Antalyaspor,2,22/23
Süper Lig,Round 10,15/10/22,Karagümrük,3,Hatayspor,0,22/23
Süper Lig,Round 10,15/10/22,Kasımpaşa,1,Adana DS,4,22/23
Süper Lig,Round 10,15/10/22,Kayserispor,2,Galatasaray,1,22/23
Süper Lig,Round 10,15/10/22,Konyaspor,0,Gaziantep,1,22/23
Süper Lig,Round 10,16/10/22,Başakşehir,2,İstanbulspor,0,22/23
Süper Lig,Round 10,16/10/22,Beşiktaş,2,Trabzonspor,2,22/23
Süper Lig,Round 10,17/10/22,Ankaragücü,0,Fenerbahçe,3,22/23
Süper Lig,Round 10,17/10/22,Sivasspor,3,Giresunspor,0,22/23
Süper Lig,Round 11,21/10/22,Antalyaspor,2,İstanbulspor,1,22/23
Süper Lig,Round 11,22/10/22,Ümraniyespor,1,Karagümrük,3,22/23
Süper Lig,Round 11,22/10/22,Trabzonspor,1,Sivasspor,0,22/23
Süper Lig,Round 11,22/10/22,Fenerbahçe,1,Başakşehir,0,22/23
Süper Lig,Round 11,23/10/22,Kasımpaşa,0,Kayserispor,1,22/23
Süper Lig,Round 11,23/10/22,Adana DS,1,Konyaspor,1,22/23
Süper Lig,Round 11,23/10/22,Galatasarayx2,2,Alanyaspor,2,22/23
Süper Lig,Round 11,24/10/22,Giresunspor,1,Ankaragücü,1,22/23
Süper Lig,Round 11,24/10/22,Hatayspor,2,Beşiktaş,1,22/23
Süper Lig,Round 12,28/10/22,Karagümrük,0,Galatasaray,2,22/23
Süper Lig,Round 12,29/10/22,Konyaspor,1,Kasımpaşa,1,22/23
Süper Lig,Round 12,29/10/22,Alanyaspor,2,Gaziantep,0,22/23
Süper Lig,Round 12,30/10/22,Ankaragücü,4,Hatayspor,1,22/23
Süper Lig,Round 12,30/10/22,Beşiktaş,5,Ümraniyespor,2,22/23
Süper Lig,Round 12,30/10/22,Kayserispor,2,Adana DS,2,22/23
Süper Lig,Round 12,30/10/22,İstanbulspor,2,Fenerbahçe,5,22/23
Süper Lig,Round 12,31/10/22,Başakşehir,3,Giresunspor,1,22/23
Süper Lig,Round 12,31/10/22,Sivasspor,0,Antalyaspor,2,22/23
Süper Lig,Round 13,04/11/22,Kasımpaşa,1,Ankaragücü,1,22/23
Süper Lig,Round 13,04/11/22,Ümraniyespor,3,Alanyaspor,1,22/23
Süper Lig,Round 13,05/11/22,Giresunspor,3,İstanbulspor,2,22/23
Süper Lig,Round 13,05/11/22,Galatasaray,2,Beşiktaş,1,22/23
Süper Lig,Round 13,06/11/22,Gaziantep,1,Kayserispor,2,22/23
Süper Lig,Round 13,06/11/22,Antalyaspor,4,Karagümrük,2,22/23
Süper Lig,Round 13,06/11/22,Trabzonspor,2,Konyaspor,2,22/23
Süper Lig,Round 13,07/11/22,Fenerbahçe,1,Sivasspor,0,22/23
Süper Lig,Round 13,07/11/22,Hatayspor,3,Başakşehir,3,22/23
