player_id,footballer_id,footballer_name,rating,potential,position_acronym,goalkeeping,mental,physical,technical,aerial-reach,command-of-area,communication,eccentricity,first-touch,handling,kicking,one-on-ones,passing,punching-tendency,reflexes,rushing-out-tendency,throwing,aggression,anticipation,bravery,composure,concentration,decisions,determination,flair,leadership,off-the-ball,positioning,teamwork,vision,work-rate,acceleration,agility,balance,jumping-reach,natural-fitness,pace,stamina,strength,free-kick-taking,penalty-taking,technique,corners,crossing,dribbling,finishing,heading,long-shots,long-throws,marking,tackling
1,1,Fernando Muslera,68,80,GK,60,65,55,40,60,50,70,35,55,80,60,75,60,20,65,70,60,50,80,65,65,65,70,85,30,85,30,85,70,45,60,50,65,45,75,80,40,40,60,45,35,40,0,0,0,0,0,0,0,0,0
2,2,Günay Güvenç,58,60,GK,60,55,60,40,55,40,55,45,45,50,60,65,60,85,70,75,60,50,60,70,65,60,50,70,35,70,25,65,70,40,40,60,70,50,70,65,40,50,65,45,15,55,0,0,0,0,0,0,0,0,0
3,3,Batuhan Şen,55,60,GK,55,50,55,35,75,60,60,30,50,70,45,65,45,65,60,50,50,50,70,50,75,50,60,60,30,35,15,75,60,45,55,45,60,50,80,55,45,55,50,40,25,40,0,0,0,0,0,0,0,0,0
4,4,Atakan Ordu,35,,GK,50,45,50,25,55,40,35,40,40,50,55,55,40,75,65,50,50,35,45,50,40,50,30,75,25,30,10,50,55,45,55,45,60,45,65,55,50,40,45,30,15,35,0,0,0,0,0,0,0,0,0
5,5,Davinson Sánchez,70,75,DC,0,60,75,50,0,0,0,0,65,0,0,0,65,0,0,0,0,75,60,75,60,60,55,70,50,45,50,65,70,50,70,75,70,65,75,75,75,75,80,40,35,65,35,35,50,35,70,45,40,70,80
6,6,Victor Nelsson,68,72,DC,0,65,65,40,0,0,0,0,50,0,0,0,55,0,0,0,0,65,75,80,60,80,75,75,20,70,25,85,75,50,70,50,55,70,65,75,55,65,70,20,30,50,15,30,30,25,50,25,20,80,75
7,7,Abdülkerim Bardakcı,68,70,DC,0,70,65,55,0,0,0,0,60,0,0,0,70,0,0,0,0,85,70,85,75,75,70,75,50,70,50,70,70,65,75,50,55,75,70,80,55,60,75,30,35,65,40,50,50,40,75,50,45,70,70
8,8,Metehan Baltacı,53,,DC,0,60,65,40,0,0,0,0,45,0,0,0,50,0,0,0,0,70,50,80,70,65,50,85,45,50,35,65,60,45,70,55,50,60,70,75,65,60,65,15,25,45,15,35,40,30,60,25,50,65,65
9,9,Ali Yeşilyurt,38,,DC,0,50,50,35,0,0,0,0,35,0,0,0,40,0,0,0,0,60,50,60,55,50,40,60,25,40,25,55,60,40,60,40,40,50,70,45,55,50,60,25,25,40,20,20,25,25,50,35,35,60,60
10,10,Ismail Jakobs,61,68,"WBL, ML",0,55,65,50,0,0,0,0,60,0,0,0,55,0,0,0,0,80,60,65,45,45,50,70,50,30,55,50,60,45,70,75,55,60,40,60,85,75,50,40,45,55,60,65,60,45,40,45,45,50,55
11,11,Elias Jelert,63,75,"DR, WBR",0,65,65,50,0,0,0,0,65,0,0,0,70,0,0,0,0,75,60,75,60,55,60,75,65,20,70,50,70,65,75,75,70,65,40,75,75,75,35,10,25,65,55,55,65,45,40,45,20,50,60
12,12,Kaan Ayhan,65,67,"DC, DM",0,65,60,55,0,0,0,0,60,0,0,0,70,0,0,0,0,70,70,65,75,70,75,80,40,80,50,70,80,60,55,40,50,70,60,70,50,65,70,50,45,60,35,45,40,35,85,50,35,65,65
13,13,Lucas Torreira,75,78,DM,0,75,65,55,0,0,0,0,70,0,0,0,70,0,0,0,0,90,90,90,70,70,75,80,60,50,40,75,90,60,85,85,95,75,25,75,45,75,45,40,55,70,35,40,60,40,50,50,25,80,75
14,14,Efe Akman,43,,"DM, MC",0,55,50,45,0,0,0,0,75,0,0,0,65,0,0,0,0,55,55,55,60,45,50,70,60,45,35,45,70,65,55,55,60,60,25,80,40,40,25,35,35,70,40,40,50,35,40,40,20,30,40
15,15,Gabriel Sara,69,75,"MC, AMC",0,65,65,65,0,0,0,0,70,0,0,0,80,0,0,0,0,55,65,65,70,60,70,75,65,55,65,40,70,75,70,70,65,65,55,75,65,70,65,70,60,70,70,60,70,60,70,70,55,40,55
16,16,Kerem Demirbay,65,75,"DM, MC",0,65,60,60,0,0,0,0,75,0,0,0,80,0,0,0,0,75,55,60,70,55,65,60,65,70,50,55,65,75,65,45,65,60,50,60,60,65,55,75,60,80,80,65,55,45,35,70,30,55,65
