player_id,footballer_id,footballer_name,Total played,Started,Minutes per game,Total minutes played,Team of the week,Goals conceded per game,Penalties saved,Saves per game,Succ. runs out per game,Goals conceded,Conceded from inside box,Conceded from outside box,Saves made,Goals prevented,Saves from inside box,Saves from outside box,Saves caught,Saves parried,Goals,Scoring frequency,Goals per game,Shots per game,Shots on target per game,Big chances missed,Goal conversion,Penalty goals,Penalty conversion,Free kick goals,Free kick conversion,Goals from inside the box,Goals from outside the box,Headed goals,Left foot goals,Right foot goals,Penalty won,Assists,Expected Assists (xA),Touches per game,Big chances created,Key passes per game,Accurate per game,Acc. own half,Acc. opposition half,Acc. long balls,Acc. chipped passes,Acc. crosses,Clean sheets,Interceptions per game,Tackles per game,Possession won (final third),Balls recovered per game,Dribbled past per game,Clearances per game,Errors leading to shot,Errors leading to goal,Penalties committed,Succ. dribbles,Total duels won,Ground duels won,Aerial duels won,Possession lost,Fouls,Was fouled,Offsides,Goal kicks per game,Yellow,Yellow-Red,Red cards,Average Sofascore Rating
1,1,Fernando Muslera,26,26,90,2340,2,1,01-Jul,2.6 (71%),0.8 (96%),27,26,1,67,6.88,42,24,4,9,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0.07,42.6,0,0,24.8 (76%),20.7 (92%),4.1 (41%),6.4 (46%),2.2 (64%),0.0 (0%),8,0,0,0,9.4,0,1,1,1,0,0.0 (50%),0.6 (84%),0.2 (71%),0.4 (92%),7.8,0,0.3,0,5.8,6,0,0,7.08
2,2,Günay Güvenç,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,Batuhan Şen,4,4,90,360,0,2.5,01-Feb,2.8 (52%),0.5 (100%),10,10,0,11,-0.29,7,4,0,1,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0,32,0,0.3,13.0 (51%),12.0 (86%),1.0 (9%),2.0 (14%),1.0 (16%),0.0 (0%),0,0,0,0,5.3,0,0.5,0,0,0,0.0 (0%),0.3 (50%),0.3 (100%),0.0 (0%),12.3,0,0.3,0,9.5,0,0,0,6.48
4,4,Atakan Ordu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,Davinson Sánchez,7,6,87,607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,607min,0.1,0.6,0.4,1,25%,0,0%,0,0%,01-Apr,0,1,0,0,0,0,0,56.9,0,0.4,38.1 (83%),23.0 (91%),15.1 (73%),3.4 (44%),2.1 (44%),0.0 (0%),2,0.3,2.1,0,2.9,1.1,3.7,1,0,0,0.0 (0%),4.7 (57%),2.3 (47%),2.4 (71%),8.9,1.3,0.1,0,0,2,0,0,7.15
6,6,Victor Nelsson,4,4,84,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0,46,0,0,30.5 (85%),23.3 (92%),7.3 (67%),1.3 (33%),1.3 (45%),0.0 (0%),1,1,1.8,0,2.3,0.5,3.5,0,0,0,0.0 (0%),5.8 (59%),3.0 (57%),2.8 (61%),6,2.5,1.5,0.3,0,1,0,0,6.66
7,7,Abdülkerim Bardakcı,5,5,90,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.8,0.2,0,0%,0,0%,0,0%,0/3,0/1,0,0,0,0,0,0,76.6,0,0.6,54.2 (83%),33.0 (89%),21.4 (73%),3.4 (40%),3.2 (46%),0.2 (33%),3,1.8,1,0.2,4.2,0,2.4,1,0,0,0.2 (100%),5.2 (70%),1.6 (80%),3.6 (67%),13,0.6,0.4,0.2,0,2,0,0,7.04
8,8,Metehan Baltacı,8,4,32,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.3,0.3,1,0%,0,0%,0,0%,0/2,0,0,0,0,0,1,0.05,20,1,0.1,14.5 (93%),10.4 (99%),4.3 (81%),0.6 (63%),0.3 (50%),0.1 (100%),0,0.5,0.4,0,0.5,0.6,1.4,0,0,0,0.0 (0%),1.1 (43%),0.4 (25%),0.8 (67%),1.3,0.6,0,0,0,0,0,1,6.66
9,9,Ali Yeşilyurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,Ismail Jakobs,12,11,70,842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.3,0,0,0%,0,0%,0,0%,0/2,0/2,0,0,0,0,1,0.44,47.3,1,0.3,21.4 (77%),10.8 (86%),10.9 (63%),1.6 (50%),1.0 (55%),0.3 (13%),1,0.8,1.2,0,2.9,0.2,2.8,0,0,1,0.0 (0%),2.8 (57%),1.7 (56%),1.2 (58%),12.3,0.7,0.5,0,0,1,0,0,6.98
11,11,Elias Jelert,18,4,27,493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.2,0.1,1,0%,0,0%,0,0%,0/2,0/1,0,0,0,0,0,0.25,16.4,0,0.1,8.3 (81%),4.7 (87%),3.7 (72%),0.3 (32%),0.1 (22%),0.1 (33%),0,0.2,0.7,0,1.1,0.1,0.7,0,0,1,0.0 (0%),1.5 (55%),1.2 (71%),0.3 (28%),3.1,0.2,0.6,0,0,1,0,0,6.64
12,12,Kaan Ayhan,5,2,41,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.8,0,0,0%,0,0%,0,0%,0/2,0/2,0,0,0,0,0,0,28,0,0,20.8 (88%),10.4 (91%),10.4 (84%),0.8 (44%),0.4 (25%),0.0 (0%),1,0.2,0.2,0,0.6,0,0,0,0,0,0.0 (0%),0.8 (57%),0.4 (50%),0.4 (67%),3.4,0.4,0.2,0,0,2,0,0,6.83
13,13,Lucas Torreira,25,25,86,2160,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.6,0.1,4,0%,0,0%,0,0%,0/8,0/6,0,0,0,0,4,2.17,59,4,0.9,41.1 (88%),19.1 (93%),22.1 (83%),2.1 (51%),2.5 (71%),0.1 (25%),0,0.9,2.4,0.5,5.7,1.5,2,1,0,0,0.2 (50%),4.5 (52%),4.0 (55%),0.5 (36%),7.5,1.5,1.3,0,0,4,0,0,7.11
14,14,Efe Akman,3,0,9,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.3,0.3,0,0%,0,0%,0,0%,0/1,0,0,0,0,0,0,0.01,10.7,0,0.3,7.7 (92%),3.7 (92%),4.0 (92%),0.3 (100%),0.0 (0%),0.0 (0%),0,0.7,0.3,0.3,1.3,0.3,0,0,0,0,0.0 (0%),0.3 (25%),0.3 (25%),0.0 (0%),1.3,0.3,0,0,0,0,0,0,6.67
15,15,Gabriel Sara,23,21,79,1822,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,911min,0.1,2,0.4,4,4%,0,0%,0/5,0%,Feb-14,0/31,0,2,0,0,5,5.01,61.9,10,2,37.5 (83%),16.0 (90%),23.0 (71%),2.1 (62%),2.2 (52%),1.5 (30%),0,0.7,1,0.2,4.4,0.9,0.9,1,0,0,0.7 (49%),3.7 (47%),2.7 (45%),1.0 (53%),14.4,0.6,1.1,0,0,2,0,0,7.31
16,16,Kerem Demirbay,17,4,29,498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.6,0.1,1,0%,0,0%,0/1,0%,0/5,0/6,0,0,0,0,1,1.18,20.9,3,0.6,11.1 (79%),5.1 (88%),6.4 (70%),0.3 (26%),0.6 (46%),0.4 (38%),0,0.5,1.1,0.2,2.3,0.4,0.2,0,0,0,0.2 (57%),1.9 (49%),1.6 (50%),0.3 (45%),4.8,0.6,0.2,0.1,0,2,0,0,6.92
17,17,Berkan Kutlu,19,4,35,658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0.6,0,0,0%,0,0%,0,0%,0/5,0/6,0,0,0,0,1,1.34,28.7,3,0.5,14.8 (81%),6.4 (89%),8.9 (73%),0.7 (40%),0.6 (48%),0.4 (42%),0,0.8,0.8,0.1,2.5,0.5,1.1,0,1,0,0.6 (55%),2.2 (52%),1.6 (50%),0.5 (59%),5.8,0.2,0.3,0,0,1,0,0,6.71
18,18,Eyüp Aydın,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0min,0,0,0,0,0%,0,0%,0,0%,0,0,0,0,0,0,0,0,1,0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),0,0,0,0,0,0,0,0,0,0,0.0 (0%),0.0 (0%),0.0 (0%),0.0 (0%),1,0,0,0,0,0,0,0,0
19,19,Gökdeniz Gürpüz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
