league,league_id,team_name,team_info_link,img_path,num_players,avg_age,num_legionnaires,avg_marketing_val,total_squad_value
PKO BP Ekstraklasa,pl1,Legia Warszawa,/legia-warschau/startseite/verein/255/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/255.png?lm=1463410132,,33,25.0,€800k,€26.40m
PKO BP Ekstraklasa,pl1,Lech Poznan,/lech-posen/startseite/verein/238/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/238.png?lm=1667394613,,25,26.0,€1.03m,€25.70m
PKO BP Ekstraklasa,pl1,Raków Częstochowa,/rakow-czestochowa/startseite/verein/9644/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/9644.png?lm=1706715423,,31,25.3,€821k,€25.45m
PKO BP Ekstraklasa,pl1,Jagiellonia Bialystok,/jagiellonia-bialystok/startseite/verein/2300/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/2300.png?lm=1723051894,,27,25.6,€591k,€15.95m
PKO BP Ekstraklasa,pl1,Slask Wroclaw,/slask-wroclaw/startseite/verein/759/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/759.png?lm=1404463384,,34,23.4,€454k,€15.45m
PKO BP Ekstraklasa,pl1,Cracovia,/cracovia/startseite/verein/5689/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/5689.png?lm=1722343628,,28,25.4,€541k,€15.15m
PKO BP Ekstraklasa,pl1,Zaglebie Lubin,/zaglebie-lubin/startseite/verein/168/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/168.png?lm=1429042281,,30,25.1,€458k,€13.75m
PKO BP Ekstraklasa,pl1,Pogon Szczecin,/pogon-stettin/startseite/verein/324/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/324.png?lm=1573830930,,29,26.3,€442k,€12.83m
PKO BP Ekstraklasa,pl1,Lechia Gdansk,/lechia-gdansk/startseite/verein/4000/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/4000.png?lm=1549363805,,27,22.5,€436k,€11.78m
PKO BP Ekstraklasa,pl1,Górnik Zabrze,/gornik-zabrze/startseite/verein/428/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/428.png?lm=1444671509,,26,25.1,€433k,€11.25m
PKO BP Ekstraklasa,pl1,Piast Gliwice,/piast-gliwice/startseite/verein/6112/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6112.png?lm=1706715503,,28,26.3,€376k,€10.53m
PKO BP Ekstraklasa,pl1,Widzew Lodz,/widzew-lodz/startseite/verein/88/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/88.png?lm=1706715679,,28,25.5,€365k,€10.23m
PKO BP Ekstraklasa,pl1,Stal Mielec,/stal-mielec/startseite/verein/22431/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/22431.png?lm=1706715637,,28,26.0,€343k,€9.60m
PKO BP Ekstraklasa,pl1,Korona Kielce,/korona-kielce/startseite/verein/6110/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6110.png?lm=1444671585,,30,25.4,€301k,€9.03m
PKO BP Ekstraklasa,pl1,Motor Lublin,/motor-lublin/startseite/verein/3527/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/3527.png?lm=1725368107,,29,26.0,€293k,€8.50m
PKO BP Ekstraklasa,pl1,Radomiak Radom,/radomiak-radom/startseite/verein/7154/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/7154.png?lm=1706715593,,28,26.5,€294k,€8.23m
PKO BP Ekstraklasa,pl1,GKS Katowice,/gks-katowice/startseite/verein/6456/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6456.png?lm=1722343694,,29,27.5,€279k,€8.10m
PKO BP Ekstraklasa,pl1,Puszcza Niepolomice,/puszcza-niepolomice/startseite/verein/28893/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/28893.png?lm=1706716644,,29,25.9,€264k,€7.65m
