league,league_id,team_name,team_info_link,img_path,num_players,avg_age,num_legionnaires,avg_marketing_val,total_squad_value
Super League,tr1,Galatasaray,/galatasaray-istanbul/startseite/verein/141/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/141.png?lm=1406739071,,28,26.7,€9.36m,€262.05m
Super League,tr1,Fenerbahce,/fenerbahce-istanbul/startseite/verein/36/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/36.png?lm=1406739123,,28,28.4,€8.08m,€226.13m
Super League,tr1,Besiktas JK,/besiktas-istanbul/startseite/verein/114/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/114.png?lm=1502974502,,31,26.3,€4.50m,€139.48m
Super League,tr1,Trabzonspor,/trabzonspor/startseite/verein/449/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/449.png?lm=1727269339,,32,26.1,€3.29m,€105.15m
Super League,tr1,Basaksehir FK,/istanbul-basaksehir-fk/startseite/verein/6890/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/6890.png?lm=1521449959,,29,26.9,€1.67m,€48.43m
Super League,tr1,Caykur Rizespor,/caykur-rizespor/startseite/verein/126/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/126.png?lm=1443714784,,28,25.3,€1.30m,€36.45m
Super League,tr1,Göztepe,/goztepe/startseite/verein/1467/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/1467.png?lm=1441199242,,30,24.9,€1.20m,€36.05m
Super League,tr1,Eyüpspor,/eyupspor/startseite/verein/7160/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/7160.png?lm=1441816214,,29,29.0,€1.02m,€29.65m
Super League,tr1,Kasimpasa,/kasimpasa/startseite/verein/10484/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/10484.png?lm=1408653850,,31,25.9,€945k,€29.30m
Super League,tr1,Samsunspor,/samsunspor/startseite/verein/152/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/152.png?lm=1730130873,,33,26.1,€887k,€29.28m
Super League,tr1,Antalyaspor,/antalyaspor/startseite/verein/589/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/589.png?lm=1473110173,,31,26.7,€886k,€27.48m
Super League,tr1,Alanyaspor,/alanyaspor/startseite/verein/11282/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/11282.png?lm=1489273987,,25,26.4,€965k,€24.13m
Super League,tr1,Konyaspor,/konyaspor/startseite/verein/2293/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/2293.png?lm=1519828204,,30,27.2,€792k,€23.75m
Super League,tr1,Sivasspor,/sivasspor/startseite/verein/2381/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/2381.png?lm=1408653992,,33,26.7,€716k,€23.63m
Super League,tr1,Kayserispor,/kayserispor/startseite/verein/3205/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/3205.png?lm=1520239955,,27,27.7,€862k,€23.28m
Super League,tr1,Hatayspor,/hatayspor/startseite/verein/7775/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/7775.png?lm=1441723606,,27,25.8,€819k,€22.13m
Super League,tr1,Gaziantep FK,/gaziantep-fk/startseite/verein/2832/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/2832.png?lm=1618435990,,32,26.5,€680k,€21.78m
Super League,tr1,Bodrum FK,/bodrumspor/startseite/verein/44006/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/44006.png?lm=1441938597,,32,26.7,€653k,€20.90m
Super League,tr1,Adana Demirspor,/adana-demirspor/startseite/verein/3840/saison_id/2024,https://tmssl.akamaized.net//images/wappen/tiny/3840.png?lm=1442129502,,26,23.6,€697k,€18.13m
