League,Week,Date,Home Team,Home Goals,Away Team,Away Goals,Season
Super Lig,Round 1,09/08/24,Galatasaray,2,Hatayspor,1,63814
Super Lig,Round 1,10/08/24,Kasımpaşa,2,Konyaspor,3,63814
Super Lig,Round 1,10/08/24,Antalyaspor,0,Göztepe,0,63814
Super Lig,Round 1,10/08/24,Fenerbahçe,1,Adana DS,0,63814
Super Lig,Round 1,11/08/24,Sivasspor,0,Trabzonspor,0,63814
Super Lig,Round 1,11/08/24,Alanyaspor,1,Eyüpspor,1,63814
Super Lig,Round 1,11/08/24,Samsunspor,0,Beşiktaş,2,63814
Super Lig,Round 1,12/08/24,Bodrum,0,Gaziantep,1,63814
Super Lig,Round 1,12/08/24,Rizespor,1,Başakşehir,1,63814
Trendyol 1. Lig,Round 1,09/08/24,Sakaryaspor,1,Keçiörengücü,1,64425
Trendyol 1. Lig,Round 1,10/08/24,İstanbulspor,3,Manisa,2,64425
Trendyol 1. Lig,Round 1,10/08/24,Yeni Malatyaspor,,Pendikspor,,64425
Trendyol 1. Lig,Round 1,10/08/24,Adanaspor,2,Erokspor,1,64425
Trendyol 1. Lig,Round 1,10/08/24,Kocaelispor,2,Gençlerbirliği,1,64425
Trendyol 1. Lig,Round 1,11/08/24,Bandırmaspor,3,Erzurumspor,2,64425
Trendyol 1. Lig,Round 1,11/08/24,Boluspor,0,Iğdır,1,64425
Trendyol 1. Lig,Round 1,11/08/24,Karagümrük,0,Amed,0,64425
Trendyol 1. Lig,Round 1,11/08/24,Ankaragücü,2,Şanlıurfaspor,0,64425
Trendyol 1. Lig,Round 1,12/08/24,Ümraniyespor,3,Çorum,0,64425
Ekstraklasa,Round 1,19/07/24,Jagiellonia,2,Puszcza,0,61236
Ekstraklasa,Round 1,19/07/24,Śląsk,1,Lechia,1,61236
Ekstraklasa,Round 1,20/07/24,GKS Katowice,1,Radomiak,2,61236
Ekstraklasa,Round 1,20/07/24,Pogoń,3,Korona,0,61236
Ekstraklasa,Round 1,20/07/24,Legia,2,Zagłębie L.,0,61236
Ekstraklasa,Round 1,21/07/24,Cracovia,1,Piast,1,61236
Ekstraklasa,Round 1,21/07/24,Lech,2,Górnik,0,61236
Ekstraklasa,Round 1,21/07/24,Motor,0,Raków,2,61236
Ekstraklasa,Round 1,22/07/24,Stal Mielec,1,Widzew Łódź,1,61236
